"","filenames","treenumber","gamma_pbd","gamma_post","diff"
"1","article_0_0_0_0_2.RDa",1,0.156716284909481,0.196286045292595,-0.039569760383114
"2","article_0_0_0_0_2.RDa",1,0.156716284909481,0.170938806392122,-0.014222521482641
"3","article_0_0_0_0_2.RDa",1,0.156716284909481,0.219488799369521,-0.06277251446004
"4","article_0_0_0_0_2.RDa",1,0.156716284909481,0.164377249363276,-0.00766096445379499
"5","article_0_0_0_0_2.RDa",1,0.156716284909481,0.177403239286952,-0.020686954377471
"6","article_0_0_0_0_2.RDa",1,0.156716284909481,0.168855449740685,-0.012139164831204
"7","article_0_0_0_0_2.RDa",1,0.156716284909481,0.164775523194918,-0.008059238285437
"8","article_0_0_0_0_2.RDa",1,0.156716284909481,0.191854441842393,-0.035138156932912
"9","article_0_0_0_0_2.RDa",1,0.156716284909481,0.206310307498318,-0.049594022588837
"10","article_0_0_0_0_2.RDa",1,0.156716284909481,0.161632666021735,-0.00491638111225401
"11","article_0_0_0_0_2.RDa",1,0.156716284909481,0.236204226237554,-0.079487941328073
"12","article_0_0_0_0_2.RDa",1,0.156716284909481,0.162813394939157,-0.006097110029676
"13","article_0_0_0_0_2.RDa",1,0.156716284909481,0.16204452333967,-0.00532823843018901
"14","article_0_0_0_0_2.RDa",1,0.156716284909481,0.171800961742751,-0.01508467683327
"15","article_0_0_0_0_2.RDa",1,0.156716284909481,0.202919704421533,-0.046203419512052
"16","article_0_0_0_0_2.RDa",1,0.156716284909481,0.18773090928665,-0.031014624377169
"17","article_0_0_0_0_2.RDa",1,0.156716284909481,0.193714728506939,-0.036998443597458
"18","article_0_0_0_0_2.RDa",1,0.156716284909481,0.172754851642171,-0.01603856673269
"19","article_0_0_0_0_2.RDa",1,0.156716284909481,0.191061406015062,-0.034345121105581
"20","article_0_0_0_0_2.RDa",1,0.156716284909481,0.137790731962214,0.018925552947267
"21","article_0_0_0_0_2.RDa",1,0.156716284909481,0.168476621690463,-0.011760336780982
"22","article_0_0_0_0_2.RDa",1,0.156716284909481,0.166785602481902,-0.010069317572421
"23","article_0_0_0_0_2.RDa",1,0.156716284909481,0.152423805076837,0.004292479832644
"24","article_0_0_0_0_2.RDa",1,0.156716284909481,0.202297816611324,-0.045581531701843
"25","article_0_0_0_0_2.RDa",1,0.156716284909481,0.168306774514788,-0.011590489605307
"26","article_0_0_0_0_2.RDa",1,0.156716284909481,0.166964387488703,-0.010248102579222
"27","article_0_0_0_0_2.RDa",1,0.156716284909481,0.18083371558328,-0.024117430673799
