"","filename","species_tree","alignment","beast_run","gamma_stat"
"1","article_0_0_0_0_0.RDa",1,1,1,5.03456213009134
"2","article_0_0_0_0_0.RDa",1,1,1,5.33151109582877
"3","article_0_0_0_0_0.RDa",1,1,1,5.64837216846733
"4","article_0_0_0_0_0.RDa",1,1,1,5.4023724332439
"5","article_0_0_0_0_0.RDa",1,1,1,2.83119517684128
"6","article_0_0_0_0_0.RDa",1,1,1,-0.766748680435941
"7","article_0_0_0_0_0.RDa",1,1,1,-1.45303862574033
"8","article_0_0_0_0_0.RDa",1,1,1,-4.55029665694881
"9","article_0_0_0_0_0.RDa",1,1,1,-6.08856857391463
"10","article_0_0_0_0_0.RDa",1,1,1,-6.74916407664293
"11","article_0_0_0_0_0.RDa",1,1,2,1.57495144972162
"12","article_0_0_0_0_0.RDa",1,1,2,1.75863514462094
"13","article_0_0_0_0_0.RDa",1,1,2,1.58017665732001
"14","article_0_0_0_0_0.RDa",1,1,2,-2.34826927271714
"15","article_0_0_0_0_0.RDa",1,1,2,-4.90371783810858
"16","article_0_0_0_0_0.RDa",1,1,2,-7.33579999046993
"17","article_0_0_0_0_0.RDa",1,1,2,-7.26702370927758
"18","article_0_0_0_0_0.RDa",1,1,2,-7.33690757816451
"19","article_0_0_0_0_0.RDa",1,1,2,-6.81428673938212
"20","article_0_0_0_0_0.RDa",1,1,2,-7.06309306807775
"21","article_0_0_0_0_0.RDa",1,2,1,2.91241691221633
"22","article_0_0_0_0_0.RDa",1,2,1,4.15442377180522
"23","article_0_0_0_0_0.RDa",1,2,1,5.05717914045112
"24","article_0_0_0_0_0.RDa",1,2,1,5.28804037038858
"25","article_0_0_0_0_0.RDa",1,2,1,5.94394217739992
"26","article_0_0_0_0_0.RDa",1,2,1,5.83053313151945
"27","article_0_0_0_0_0.RDa",1,2,1,3.93071354499448
"28","article_0_0_0_0_0.RDa",1,2,1,1.88465924008431
"29","article_0_0_0_0_0.RDa",1,2,1,0.705838903109027
"30","article_0_0_0_0_0.RDa",1,2,1,-1.19726896099278
"31","article_0_0_0_0_0.RDa",1,2,2,4.94292064623148
