"","filename","n_species_trees"
"1","article_0_0_0_0_0.RDa",2
"2","article_0_0_0_0_1.RDa",2
"3","article_0_0_0_1_0.RDa",2
"4","article_0_0_0_1_1.RDa",2
"5","article_0_0_0_2_0.RDa",2
"6","article_0_0_0_2_1.RDa",2
"7","article_0_0_1_0_0.RDa",2
"8","article_0_0_1_0_1.RDa",2
"9","article_0_0_1_1_0.RDa",2
"10","article_0_0_1_1_1.RDa",2
"11","article_0_0_1_2_0.RDa",2
"12","article_0_0_1_2_1.RDa",2
"13","article_0_0_2_0_0.RDa",2
"14","article_0_0_2_0_1.RDa",2
"15","article_0_0_2_1_0.RDa",2
"16","article_0_0_2_1_1.RDa",2
"17","article_0_0_2_2_0.RDa",2
"18","article_0_0_2_2_1.RDa",2
"19","article_0_1_0_0_0.RDa",2
"20","article_0_1_0_0_1.RDa",2
"21","article_0_1_0_1_0.RDa",2
"22","article_0_1_0_1_1.RDa",2
"23","article_0_1_0_2_0.RDa",2
"24","article_0_1_0_2_1.RDa",2
"25","article_0_1_1_0_0.RDa",2
"26","article_0_1_1_0_1.RDa",2
"27","article_0_1_1_1_0.RDa",2
"28","article_0_1_1_1_1.RDa",2
"29","article_0_1_1_2_0.RDa",2
"30","article_0_1_1_2_1.RDa",2
"31","article_0_1_2_0_0.RDa",2
"32","article_0_1_2_0_1.RDa",2
"33","article_0_1_2_1_0.RDa",2
"34","article_0_1_2_1_1.RDa",2
"35","article_0_1_2_2_0.RDa",2
"36","article_0_1_2_2_1.RDa",2
"37","article_0_2_0_0_0.RDa",2
"38","article_0_2_0_0_1.RDa",2
"39","article_0_2_0_1_0.RDa",2
"40","article_0_2_0_1_1.RDa",2
"41","article_0_2_0_2_0.RDa",2
"42","article_0_2_0_2_1.RDa",2
"43","article_0_2_1_0_0.RDa",2
"44","article_0_2_1_0_1.RDa",2
"45","article_0_2_1_1_0.RDa",2
"46","article_0_2_1_1_1.RDa",2
"47","article_0_2_1_2_0.RDa",2
"48","article_0_2_1_2_1.RDa",2
"49","article_0_2_2_0_0.RDa",2
"50","article_0_2_2_0_1.RDa",2
"51","article_0_2_2_1_0.RDa",2
"52","article_0_2_2_1_1.RDa",2
"53","article_0_2_2_2_0.RDa",2
"54","article_0_2_2_2_1.RDa",2
