#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:toy_example_3_2_2_1" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:toy_example_3_2_2_1" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:toy_example_3_2_2_1" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:toy_example_3_2_2_1">
#                <taxonset id="TaxonSet.toy_example_3_2_2_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:toy_example_3_2_2_1" name="distribution" x="@birthRate2.t:toy_example_3_2_2_1">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:toy_example_3_2_2_1" name="distribution" x="@relativeDeathRate2.t:toy_example_3_2_2_1">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@toy_example_3_2_2_1" id="treeLikelihood.toy_example_3_2_2_1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:toy_example_3_2_2_1">
#            <siteModel id="SiteModel.s:toy_example_3_2_2_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:toy_example_3_2_2_1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:toy_example_3_2_2_1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:toy_example_3_2_2_1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:toy_example_3_2_2_1" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:toy_example_3_2_2_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:toy_example_3_2_2_1" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	
0	-6391.487835913234	-6383.4378669081725	-8.049969005062337	-6383.4378669081725	0.92681859949172	-1.142213726080201	1.0	0.5	
1000	-3159.9247202797105	-3176.864541103546	16.93982082383549	-3176.864541103546	0.05024648330054482	23.847576102817627	0.9382166053386299	0.969522693091644	
2000	-3156.4274483092922	-3171.9549352454947	15.527486936202642	-3171.9549352454947	0.05142830212633833	22.43524221518478	1.2531583316451633	0.9822678434931049	
3000	-3162.132591181838	-3176.1130192069277	13.980428025089758	-3176.1130192069277	0.06497127577394811	20.888183304071894	3.258446153318965	0.9508867167552866	
4000	-3161.331878141711	-3176.559032170131	15.227154028420212	-3176.559032170131	0.053998253300703014	22.13490930740235	3.852401803527887	0.9481900602958241	
5000	-3156.4086194398405	-3173.3516177882293	16.94299834838894	-3173.3516177882293	0.053998253300703014	23.850753627371077	10.70633049124186	0.6638308484034018	
6000	-3159.480960578477	-3174.9088290580003	15.427868479523042	-3174.9088290580003	0.05587388556917854	22.33562375850518	36.66934163068614	0.6100836067746734	
7000	-3154.6636745978867	-3172.3840017681996	17.720327170312732	-3172.3840017681996	0.053970615723375887	24.62808244929487	23.871799836755205	0.4028060599999975	
8000	-3161.2879884091635	-3179.2782947720348	17.99030636287133	-3179.2782947720348	0.048081013247927566	24.898061641853467	45.63746104912285	0.04334810718049672	
9000	-3155.4652507613323	-3173.616638095834	18.15138733450142	-3173.616638095834	0.054094286824338096	25.059142613483555	21.953755561689754	0.19753509175245346	
10000	-3160.731767952423	-3177.3744025864567	16.64263463403355	-3177.3744025864567	0.05790007513241739	23.550389913015685	36.916116864155505	0.11887991699136609	
