"","filename","rng_seed","sirg","siri","scr","erg","eri","age","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","add_alignments_real_time_sec","add_pbd_output_real_time_sec","add_posteriors_real_time_sec","add_species_trees_real_time_sec"
"article_0_1_2_0_1.RDa","article_0_1_2_0_1.RDa",1,0.3,0.3,0.3,0.2,0.2,15,0.1,2,10000,10000,2,1,2,276,0
"article_0_1_2_1_0.RDa","article_0_1_2_1_0.RDa",1,0.3,0.3,0.3,0.2,0.2,15,0.01,2,1000,10000,2,2,2,14,0
"article_0_1_2_1_1.RDa","article_0_1_2_1_1.RDa",1,0.3,0.3,0.3,0.2,0.2,15,0.01,2,10000,10000,2,2,1,18470,0
"article_0_1_2_2_0.RDa","article_0_1_2_2_0.RDa",1,0.3,0.3,0.3,0.2,0.2,15,0.001,2,1000,10000,2,1,2,16,6
"article_0_1_2_2_1.RDa","article_0_1_2_2_1.RDa",1,0.3,0.3,0.3,0.2,0.2,15,0.001,2,10000,10000,2,9,2,19,0
"article_0_2_0_0_0.RDa","article_0_2_0_0_0.RDa",1,0.3,0.3,1,0,0,15,0.1,2,1000,10000,2,1,2,19,0
"article_0_2_0_0_1.RDa","article_0_2_0_0_1.RDa",1,0.3,0.3,1,0,0,15,0.1,2,10000,10000,2,3,11,152,0
"article_0_2_0_1_0.RDa","article_0_2_0_1_0.RDa",1,0.3,0.3,1,0,0,15,0.01,2,1000,10000,2,2,4,61,0
"article_0_2_0_1_1.RDa","article_0_2_0_1_1.RDa",1,0.3,0.3,1,0,0,15,0.01,2,10000,10000,2,15,2,86,0
"article_0_2_0_2_0.RDa","article_0_2_0_2_0.RDa",1,0.3,0.3,1,0,0,15,0.001,2,1000,10000,2,4,11,23,0
"article_0_2_0_2_1.RDa","article_0_2_0_2_1.RDa",1,0.3,0.3,1,0,0,15,0.001,2,10000,10000,2,1,14,19,5
"article_0_2_1_0_0.RDa","article_0_2_1_0_0.RDa",1,0.3,0.3,1,0.1,0.1,15,0.1,2,1000,10000,2,141,2,13191,0
"article_0_2_1_0_1.RDa","article_0_2_1_0_1.RDa",1,0.3,0.3,1,0.1,0.1,15,0.1,2,10000,10000,2,2,2,121,0
"article_0_2_1_1_0.RDa","article_0_2_1_1_0.RDa",1,0.3,0.3,1,0.1,0.1,15,0.01,2,1000,10000,2,1,2,28,0
"article_0_2_1_1_1.RDa","article_0_2_1_1_1.RDa",1,0.3,0.3,1,0.1,0.1,15,0.01,2,10000,10000,2,14,2,26,0
"article_0_2_1_2_0.RDa","article_0_2_1_2_0.RDa",1,0.3,0.3,1,0.1,0.1,15,0.001,2,1000,10000,2,21,3,17,0
"article_0_2_1_2_1.RDa","article_0_2_1_2_1.RDa",1,0.3,0.3,1,0.1,0.1,15,0.001,2,10000,10000,2,11,2,66,0
"article_0_2_2_0_0.RDa","article_0_2_2_0_0.RDa",1,0.3,0.3,1,0.2,0.2,15,0.1,2,1000,10000,2,8,4,92,0
"article_0_2_2_0_1.RDa","article_0_2_2_0_1.RDa",1,0.3,0.3,1,0.2,0.2,15,0.1,2,10000,10000,2,1,2,15221,0
"article_0_2_2_1_0.RDa","article_0_2_2_1_0.RDa",1,0.3,0.3,1,0.2,0.2,15,0.01,2,1000,10000,2,2,1,484,0
"article_0_2_2_1_1.RDa","article_0_2_2_1_1.RDa",1,0.3,0.3,1,0.2,0.2,15,0.01,2,10000,10000,2,81,3,2972,0
"article_0_2_2_2_0.RDa","article_0_2_2_2_0.RDa",1,0.3,0.3,1,0.2,0.2,15,0.001,2,1000,10000,2,1,14,11484,0
"article_0_2_2_2_1.RDa","article_0_2_2_2_1.RDa",1,0.3,0.3,1,0.2,0.2,15,0.001,2,10000,10000,2,32,12,141,0
"article_0_3_0_0_0.RDa","article_0_3_0_0_0.RDa",1,0.3,0.3,1e+06,0,0,15,0.1,2,1000,10000,2,5,2,44,0
"article_0_3_0_0_1.RDa","article_0_3_0_0_1.RDa",1,0.3,0.3,1e+06,0,0,15,0.1,2,10000,10000,2,1,3,1855,0
"article_0_3_0_1_0.RDa","article_0_3_0_1_0.RDa",1,0.3,0.3,1e+06,0,0,15,0.01,2,1000,10000,2,2,2,4877,0
"article_0_3_0_1_1.RDa","article_0_3_0_1_1.RDa",1,0.3,0.3,1e+06,0,0,15,0.01,2,10000,10000,2,2,2,33,0
"article_0_3_0_2_0.RDa","article_0_3_0_2_0.RDa",1,0.3,0.3,1e+06,0,0,15,0.001,2,1000,10000,2,113,2,39,0
"article_0_3_0_2_1.RDa","article_0_3_0_2_1.RDa",1,0.3,0.3,1e+06,0,0,15,0.001,2,10000,10000,2,1,2,152,0
"article_0_3_1_0_0.RDa","article_0_3_1_0_0.RDa",1,0.3,0.3,1e+06,0.1,0.1,15,0.1,2,1000,10000,2,2,7,347,0
"article_0_3_1_0_1.RDa","article_0_3_1_0_1.RDa",1,0.3,0.3,1e+06,0.1,0.1,15,0.1,2,10000,10000,2,2,2,68,0
"article_0_3_1_1_0.RDa","article_0_3_1_1_0.RDa",1,0.3,0.3,1e+06,0.1,0.1,15,0.01,2,1000,10000,2,1,2,63,0
"article_0_3_1_1_1.RDa","article_0_3_1_1_1.RDa",1,0.3,0.3,1e+06,0.1,0.1,15,0.01,2,10000,10000,2,3,2,1344,0
"article_0_3_1_2_0.RDa","article_0_3_1_2_0.RDa",1,0.3,0.3,1e+06,0.1,0.1,15,0.001,2,1000,10000,2,1,2,206,0
"article_0_3_1_2_1.RDa","article_0_3_1_2_1.RDa",1,0.3,0.3,1e+06,0.1,0.1,15,0.001,2,10000,10000,2,1,3,15623,0
"article_0_3_2_0_0.RDa","article_0_3_2_0_0.RDa",1,0.3,0.3,1e+06,0.2,0.2,15,0.1,2,1000,10000,2,1,3,26,0
"article_0_3_2_0_1.RDa","article_0_3_2_0_1.RDa",1,0.3,0.3,1e+06,0.2,0.2,15,0.1,2,10000,10000,2,2,3,14092,0
"article_0_3_2_1_0.RDa","article_0_3_2_1_0.RDa",1,0.3,0.3,1e+06,0.2,0.2,15,0.01,2,1000,10000,2,16,7,795,0
"article_0_3_2_1_1.RDa","article_0_3_2_1_1.RDa",1,0.3,0.3,1e+06,0.2,0.2,15,0.01,2,10000,10000,2,4,1,16536,6
"article_0_3_2_2_0.RDa","article_0_3_2_2_0.RDa",1,0.3,0.3,1e+06,0.2,0.2,15,0.001,2,1000,10000,2,4,2,16281,0
"article_0_3_2_2_1.RDa","article_0_3_2_2_1.RDa",1,0.3,0.3,1e+06,0.2,0.2,15,0.001,2,10000,10000,2,1,2,29,0
"article_1_0_0_0_0.RDa","article_1_0_0_0_0.RDa",1,0.5,0.5,0.1,0,0,15,0.1,2,1000,10000,2,3,2,21,0
"article_1_0_0_0_1.RDa","article_1_0_0_0_1.RDa",1,0.5,0.5,0.1,0,0,15,0.1,2,10000,10000,2,2,2,451,0
"article_1_0_0_1_0.RDa","article_1_0_0_1_0.RDa",1,0.5,0.5,0.1,0,0,15,0.01,2,1000,10000,2,4,2,497,0
"article_1_0_0_1_1.RDa","article_1_0_0_1_1.RDa",1,0.5,0.5,0.1,0,0,15,0.01,2,10000,10000,2,32,1,525,0
"article_1_0_0_2_0.RDa","article_1_0_0_2_0.RDa",1,0.5,0.5,0.1,0,0,15,0.001,2,1000,10000,2,4,12,87,0
"article_1_0_0_2_1.RDa","article_1_0_0_2_1.RDa",1,0.5,0.5,0.1,0,0,15,0.001,2,10000,10000,2,5,14,202,0
"article_1_0_1_0_0.RDa","article_1_0_1_0_0.RDa",1,0.5,0.5,0.1,0.1,0.1,15,0.1,2,1000,10000,2,1,2,17454,5
"article_1_0_1_0_1.RDa","article_1_0_1_0_1.RDa",1,0.5,0.5,0.1,0.1,0.1,15,0.1,2,10000,10000,2,3,2,30,0
"article_1_0_1_1_0.RDa","article_1_0_1_1_0.RDa",1,0.5,0.5,0.1,0.1,0.1,15,0.01,2,1000,10000,2,24,2,35,0
"article_1_0_1_1_1.RDa","article_1_0_1_1_1.RDa",1,0.5,0.5,0.1,0.1,0.1,15,0.01,2,10000,10000,2,3,2,16474,0
"article_1_0_1_2_0.RDa","article_1_0_1_2_0.RDa",1,0.5,0.5,0.1,0.1,0.1,15,0.001,2,1000,10000,2,1,2,13495,0
"article_1_0_1_2_1.RDa","article_1_0_1_2_1.RDa",1,0.5,0.5,0.1,0.1,0.1,15,0.001,2,10000,10000,2,5,2,561,0
"article_1_0_2_0_0.RDa","article_1_0_2_0_0.RDa",1,0.5,0.5,0.1,0.2,0.2,15,0.1,2,1000,10000,2,86,2,399,0
"article_1_0_2_0_1.RDa","article_1_0_2_0_1.RDa",1,0.5,0.5,0.1,0.2,0.2,15,0.1,2,10000,10000,2,1,13,18890,0
"article_1_0_2_1_0.RDa","article_1_0_2_1_0.RDa",1,0.5,0.5,0.1,0.2,0.2,15,0.01,2,1000,10000,2,115,11,26,0
"article_1_0_2_1_1.RDa","article_1_0_2_1_1.RDa",1,0.5,0.5,0.1,0.2,0.2,15,0.01,2,10000,10000,2,1,2,56,0
"article_1_0_2_2_0.RDa","article_1_0_2_2_0.RDa",1,0.5,0.5,0.1,0.2,0.2,15,0.001,2,1000,10000,2,1,5,17,0
"article_1_0_2_2_1.RDa","article_1_0_2_2_1.RDa",1,0.5,0.5,0.1,0.2,0.2,15,0.001,2,10000,10000,2,11,8,14,6
"article_1_0_3_0_0.RDa","article_1_0_3_0_0.RDa",1,0.5,0.5,0.1,0.4,0.4,15,0.1,2,1000,10000,2,2,2,70,0
"article_1_0_3_0_1.RDa","article_1_0_3_0_1.RDa",1,0.5,0.5,0.1,0.4,0.4,15,0.1,2,10000,10000,2,23,1,61,0
"article_1_0_3_1_0.RDa","article_1_0_3_1_0.RDa",1,0.5,0.5,0.1,0.4,0.4,15,0.01,2,1000,10000,2,1,2,357,0
"article_1_0_3_1_1.RDa","article_1_0_3_1_1.RDa",1,0.5,0.5,0.1,0.4,0.4,15,0.01,2,10000,10000,2,8,2,108,0
"article_1_0_3_2_0.RDa","article_1_0_3_2_0.RDa",1,0.5,0.5,0.1,0.4,0.4,15,0.001,2,1000,10000,2,111,1,33,0
"article_1_0_3_2_1.RDa","article_1_0_3_2_1.RDa",1,0.5,0.5,0.1,0.4,0.4,15,0.001,2,10000,10000,2,9,1,175,0
"article_1_1_0_0_0.RDa","article_1_1_0_0_0.RDa",1,0.5,0.5,0.3,0,0,15,0.1,2,1000,10000,2,2,3,27,0
"article_1_1_0_0_1.RDa","article_1_1_0_0_1.RDa",1,0.5,0.5,0.3,0,0,15,0.1,2,10000,10000,2,1,1,10838,0
"article_1_1_0_1_0.RDa","article_1_1_0_1_0.RDa",1,0.5,0.5,0.3,0,0,15,0.01,2,1000,10000,2,2,9,21,0
"article_1_1_0_1_1.RDa","article_1_1_0_1_1.RDa",1,0.5,0.5,0.3,0,0,15,0.01,2,10000,10000,2,1,2,24,0
"article_1_1_0_2_0.RDa","article_1_1_0_2_0.RDa",1,0.5,0.5,0.3,0,0,15,0.001,2,1000,10000,2,9,3,16,0
"article_1_1_0_2_1.RDa","article_1_1_0_2_1.RDa",1,0.5,0.5,0.3,0,0,15,0.001,2,10000,10000,2,6,1,376,0
"article_1_1_1_0_0.RDa","article_1_1_1_0_0.RDa",1,0.5,0.5,0.3,0.1,0.1,15,0.1,2,1000,10000,2,4,2,45,0
"article_1_1_1_0_1.RDa","article_1_1_1_0_1.RDa",1,0.5,0.5,0.3,0.1,0.1,15,0.1,2,10000,10000,2,102,1,23,0
"article_1_1_1_1_0.RDa","article_1_1_1_1_0.RDa",1,0.5,0.5,0.3,0.1,0.1,15,0.01,2,1000,10000,2,5,3,97,0
"article_1_1_1_1_1.RDa","article_1_1_1_1_1.RDa",1,0.5,0.5,0.3,0.1,0.1,15,0.01,2,10000,10000,2,1,1,985,0
"article_1_1_1_2_0.RDa","article_1_1_1_2_0.RDa",1,0.5,0.5,0.3,0.1,0.1,15,0.001,2,1000,10000,2,4,12,13822,0
"article_1_1_1_2_1.RDa","article_1_1_1_2_1.RDa",1,0.5,0.5,0.3,0.1,0.1,15,0.001,2,10000,10000,2,3,7,164,0
"article_1_1_2_0_0.RDa","article_1_1_2_0_0.RDa",1,0.5,0.5,0.3,0.2,0.2,15,0.1,2,1000,10000,2,9,5,33,0
"article_1_1_2_0_1.RDa","article_1_1_2_0_1.RDa",1,0.5,0.5,0.3,0.2,0.2,15,0.1,2,10000,10000,2,57,1,40,0
"article_1_1_2_1_0.RDa","article_1_1_2_1_0.RDa",1,0.5,0.5,0.3,0.2,0.2,15,0.01,2,1000,10000,2,23,12,102,0
"article_1_1_2_1_1.RDa","article_1_1_2_1_1.RDa",1,0.5,0.5,0.3,0.2,0.2,15,0.01,2,10000,10000,2,2,4,63,0
"article_1_1_2_2_0.RDa","article_1_1_2_2_0.RDa",1,0.5,0.5,0.3,0.2,0.2,15,0.001,2,1000,10000,2,4,11,144,0
"article_1_1_2_2_1.RDa","article_1_1_2_2_1.RDa",1,0.5,0.5,0.3,0.2,0.2,15,0.001,2,10000,10000,2,4,11,22,0
"article_1_1_3_0_0.RDa","article_1_1_3_0_0.RDa",1,0.5,0.5,0.3,0.4,0.4,15,0.1,2,1000,10000,2,2,16,445,0
"article_1_1_3_0_1.RDa","article_1_1_3_0_1.RDa",1,0.5,0.5,0.3,0.4,0.4,15,0.1,2,10000,10000,2,50,13,17144,6
"article_1_1_3_1_0.RDa","article_1_1_3_1_0.RDa",1,0.5,0.5,0.3,0.4,0.4,15,0.01,2,1000,10000,2,47,2,13561,0
"article_1_1_3_1_1.RDa","article_1_1_3_1_1.RDa",1,0.5,0.5,0.3,0.4,0.4,15,0.01,2,10000,10000,2,3,2,313,0
"article_1_1_3_2_0.RDa","article_1_1_3_2_0.RDa",1,0.5,0.5,0.3,0.4,0.4,15,0.001,2,1000,10000,2,6,5,22,0
"article_1_1_3_2_1.RDa","article_1_1_3_2_1.RDa",1,0.5,0.5,0.3,0.4,0.4,15,0.001,2,10000,10000,2,7,11,70,6
"article_1_2_0_0_0.RDa","article_1_2_0_0_0.RDa",1,0.5,0.5,1,0,0,15,0.1,2,1000,10000,2,1,2,19,0
"article_1_2_0_0_1.RDa","article_1_2_0_0_1.RDa",1,0.5,0.5,1,0,0,15,0.1,2,10000,10000,2,3,1,35,0
"article_1_2_0_1_0.RDa","article_1_2_0_1_0.RDa",1,0.5,0.5,1,0,0,15,0.01,2,1000,10000,2,29,3,10621,0
"article_1_2_0_1_1.RDa","article_1_2_0_1_1.RDa",1,0.5,0.5,1,0,0,15,0.01,2,10000,10000,2,134,3,453,0
"article_1_2_0_2_0.RDa","article_1_2_0_2_0.RDa",1,0.5,0.5,1,0,0,15,0.001,2,1000,10000,2,5,8,119,0
"article_1_2_0_2_1.RDa","article_1_2_0_2_1.RDa",1,0.5,0.5,1,0,0,15,0.001,2,10000,10000,2,6,3,261,0
"article_1_2_1_0_0.RDa","article_1_2_1_0_0.RDa",1,0.5,0.5,1,0.1,0.1,15,0.1,2,1000,10000,2,19,3,31,0
"article_1_2_1_0_1.RDa","article_1_2_1_0_1.RDa",1,0.5,0.5,1,0.1,0.1,15,0.1,2,10000,10000,2,2,13,277,0
"article_1_2_1_1_0.RDa","article_1_2_1_1_0.RDa",1,0.5,0.5,1,0.1,0.1,15,0.01,2,1000,10000,2,23,2,17,0
"article_1_2_1_1_1.RDa","article_1_2_1_1_1.RDa",1,0.5,0.5,1,0.1,0.1,15,0.01,2,10000,10000,2,4,2,115,0
"article_1_2_1_2_0.RDa","article_1_2_1_2_0.RDa",1,0.5,0.5,1,0.1,0.1,15,0.001,2,1000,10000,2,20,2,17453,0
"article_1_2_1_2_1.RDa","article_1_2_1_2_1.RDa",1,0.5,0.5,1,0.1,0.1,15,0.001,2,10000,10000,2,2,3,34,0
"article_1_2_2_0_0.RDa","article_1_2_2_0_0.RDa",1,0.5,0.5,1,0.2,0.2,15,0.1,2,1000,10000,2,5,1,20328,6
"article_1_2_2_0_1.RDa","article_1_2_2_0_1.RDa",1,0.5,0.5,1,0.2,0.2,15,0.1,2,10000,10000,2,1,2,101,0
"article_1_2_2_1_0.RDa","article_1_2_2_1_0.RDa",1,0.5,0.5,1,0.2,0.2,15,0.01,2,1000,10000,2,2,1,21,0
"article_1_2_2_1_1.RDa","article_1_2_2_1_1.RDa",1,0.5,0.5,1,0.2,0.2,15,0.01,2,10000,10000,2,2,1,29,0
"article_1_2_2_2_0.RDa","article_1_2_2_2_0.RDa",1,0.5,0.5,1,0.2,0.2,15,0.001,2,1000,10000,2,1,1,20,0
"article_1_2_2_2_1.RDa","article_1_2_2_2_1.RDa",1,0.5,0.5,1,0.2,0.2,15,0.001,2,10000,10000,2,1,6,30,0
"article_1_2_3_0_0.RDa","article_1_2_3_0_0.RDa",1,0.5,0.5,1,0.4,0.4,15,0.1,2,1000,10000,2,11,1,73,0
"article_1_2_3_0_1.RDa","article_1_2_3_0_1.RDa",1,0.5,0.5,1,0.4,0.4,15,0.1,2,10000,10000,2,1,1,39,0
"article_1_2_3_1_0.RDa","article_1_2_3_1_0.RDa",1,0.5,0.5,1,0.4,0.4,15,0.01,2,1000,10000,2,1,3,18415,0
"article_1_2_3_1_1.RDa","article_1_2_3_1_1.RDa",1,0.5,0.5,1,0.4,0.4,15,0.01,2,10000,10000,2,1,11,28,0
"article_1_2_3_2_0.RDa","article_1_2_3_2_0.RDa",1,0.5,0.5,1,0.4,0.4,15,0.001,2,1000,10000,2,4,13,18493,0
"article_1_2_3_2_1.RDa","article_1_2_3_2_1.RDa",1,0.5,0.5,1,0.4,0.4,15,0.001,2,10000,10000,2,1,2,45,0
"article_1_3_0_0_0.RDa","article_1_3_0_0_0.RDa",1,0.5,0.5,1e+06,0,0,15,0.1,2,1000,10000,2,1,2,13,6
"article_1_3_0_0_1.RDa","article_1_3_0_0_1.RDa",1,0.5,0.5,1e+06,0,0,15,0.1,2,10000,10000,2,2,1,135,0
"article_1_3_0_1_0.RDa","article_1_3_0_1_0.RDa",1,0.5,0.5,1e+06,0,0,15,0.01,2,1000,10000,2,3,3,107,0
"article_1_3_0_1_1.RDa","article_1_3_0_1_1.RDa",1,0.5,0.5,1e+06,0,0,15,0.01,2,10000,10000,2,2,2,14222,0
"article_1_3_0_2_0.RDa","article_1_3_0_2_0.RDa",1,0.5,0.5,1e+06,0,0,15,0.001,2,1000,10000,2,2,3,16001,6
"article_1_3_0_2_1.RDa","article_1_3_0_2_1.RDa",1,0.5,0.5,1e+06,0,0,15,0.001,2,10000,10000,2,7,4,1215,0
"article_1_3_1_0_0.RDa","article_1_3_1_0_0.RDa",1,0.5,0.5,1e+06,0.1,0.1,15,0.1,2,1000,10000,2,18,2,235,0
"article_1_3_1_0_1.RDa","article_1_3_1_0_1.RDa",1,0.5,0.5,1e+06,0.1,0.1,15,0.1,2,10000,10000,2,1,1,19,0
"article_1_3_1_1_0.RDa","article_1_3_1_1_0.RDa",1,0.5,0.5,1e+06,0.1,0.1,15,0.01,2,1000,10000,2,12,2,270,0
"article_1_3_1_1_1.RDa","article_1_3_1_1_1.RDa",1,0.5,0.5,1e+06,0.1,0.1,15,0.01,2,10000,10000,2,2,1,10715,0
"article_1_3_1_2_0.RDa","article_1_3_1_2_0.RDa",1,0.5,0.5,1e+06,0.1,0.1,15,0.001,2,1000,10000,2,21,2,14532,0
"article_1_3_1_2_1.RDa","article_1_3_1_2_1.RDa",1,0.5,0.5,1e+06,0.1,0.1,15,0.001,2,10000,10000,2,4,2,20325,0
"article_1_3_2_0_0.RDa","article_1_3_2_0_0.RDa",1,0.5,0.5,1e+06,0.2,0.2,15,0.1,2,1000,10000,2,14,2,27,0
"article_1_3_2_0_1.RDa","article_1_3_2_0_1.RDa",1,0.5,0.5,1e+06,0.2,0.2,15,0.1,2,10000,10000,2,1,5,1228,0
"article_1_3_2_1_0.RDa","article_1_3_2_1_0.RDa",1,0.5,0.5,1e+06,0.2,0.2,15,0.01,2,1000,10000,2,2,2,23,0
"article_1_3_2_1_1.RDa","article_1_3_2_1_1.RDa",1,0.5,0.5,1e+06,0.2,0.2,15,0.01,2,10000,10000,2,112,1,15,0
"article_1_3_2_2_0.RDa","article_1_3_2_2_0.RDa",1,0.5,0.5,1e+06,0.2,0.2,15,0.001,2,1000,10000,2,1,1,449,0
"article_1_3_2_2_1.RDa","article_1_3_2_2_1.RDa",1,0.5,0.5,1e+06,0.2,0.2,15,0.001,2,10000,10000,2,19,3,30,0
"article_1_3_3_0_0.RDa","article_1_3_3_0_0.RDa",1,0.5,0.5,1e+06,0.4,0.4,15,0.1,2,1000,10000,2,1,3,73,0
"article_1_3_3_0_1.RDa","article_1_3_3_0_1.RDa",1,0.5,0.5,1e+06,0.4,0.4,15,0.1,2,10000,10000,2,1,2,124,0
"article_1_3_3_1_0.RDa","article_1_3_3_1_0.RDa",1,0.5,0.5,1e+06,0.4,0.4,15,0.01,2,1000,10000,2,1,2,16025,0
"article_1_3_3_1_1.RDa","article_1_3_3_1_1.RDa",1,0.5,0.5,1e+06,0.4,0.4,15,0.01,2,10000,10000,2,20,2,13,0
"article_1_3_3_2_0.RDa","article_1_3_3_2_0.RDa",1,0.5,0.5,1e+06,0.4,0.4,15,0.001,2,1000,10000,2,83,15,73,0
"article_1_3_3_2_1.RDa","article_1_3_3_2_1.RDa",1,0.5,0.5,1e+06,0.4,0.4,15,0.001,2,10000,10000,2,5,2,48,0
