"","filename","rng_seed","sirg","siri","scr","erg","eri","age","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","add_alignments_real_time_sec","add_pbd_output_real_time_sec","add_posteriors_real_time_sec","add_species_trees_real_time_sec"
"article_0_0_0_0_0.RDa","article_0_0_0_0_0.RDa",1,0.3,0.3,0.1,0,0,15,0.1,2,1000,10000,2,2,2,80,0
"article_0_0_0_0_1.RDa","article_0_0_0_0_1.RDa",1,0.3,0.3,0.1,0,0,15,0.1,2,10000,10000,2,123,3,14708,0
"article_0_0_0_1_0.RDa","article_0_0_0_1_0.RDa",1,0.3,0.3,0.1,0,0,15,0.01,2,1000,10000,2,2,13,14700,0
"article_0_0_0_1_1.RDa","article_0_0_0_1_1.RDa",1,0.3,0.3,0.1,0,0,15,0.01,2,10000,10000,2,3,2,10,0
"article_0_0_0_2_0.RDa","article_0_0_0_2_0.RDa",1,0.3,0.3,0.1,0,0,15,0.001,2,1000,10000,2,13,2,11244,0
"article_0_0_0_2_1.RDa","article_0_0_0_2_1.RDa",1,0.3,0.3,0.1,0,0,15,0.001,2,10000,10000,2,1,2,1310,0
"article_0_0_1_0_0.RDa","article_0_0_1_0_0.RDa",1,0.3,0.3,0.1,0.1,0.1,15,0.1,2,1000,10000,2,12,2,55,6
"article_0_0_1_0_1.RDa","article_0_0_1_0_1.RDa",1,0.3,0.3,0.1,0.1,0.1,15,0.1,2,10000,10000,2,1,2,5370,0
"article_0_0_1_1_0.RDa","article_0_0_1_1_0.RDa",1,0.3,0.3,0.1,0.1,0.1,15,0.01,2,1000,10000,2,1,9,1371,0
"article_0_0_1_1_1.RDa","article_0_0_1_1_1.RDa",1,0.3,0.3,0.1,0.1,0.1,15,0.01,2,10000,10000,2,6,2,27,0
"article_0_0_1_2_0.RDa","article_0_0_1_2_0.RDa",1,0.3,0.3,0.1,0.1,0.1,15,0.001,2,1000,10000,2,13,2,1238,0
"article_0_0_1_2_1.RDa","article_0_0_1_2_1.RDa",1,0.3,0.3,0.1,0.1,0.1,15,0.001,2,10000,10000,2,55,5,30,6
"article_0_0_2_0_0.RDa","article_0_0_2_0_0.RDa",1,0.3,0.3,0.1,0.2,0.2,15,0.1,2,1000,10000,2,1,2,18,0
"article_0_0_2_0_1.RDa","article_0_0_2_0_1.RDa",1,0.3,0.3,0.1,0.2,0.2,15,0.1,2,10000,10000,2,20,2,6075,0
"article_0_0_2_1_0.RDa","article_0_0_2_1_0.RDa",1,0.3,0.3,0.1,0.2,0.2,15,0.01,2,1000,10000,2,4,15,48,0
"article_0_0_2_1_1.RDa","article_0_0_2_1_1.RDa",1,0.3,0.3,0.1,0.2,0.2,15,0.01,2,10000,10000,2,1,2,22,0
"article_0_0_2_2_0.RDa","article_0_0_2_2_0.RDa",1,0.3,0.3,0.1,0.2,0.2,15,0.001,2,1000,10000,2,8,1,348,0
"article_0_0_2_2_1.RDa","article_0_0_2_2_1.RDa",1,0.3,0.3,0.1,0.2,0.2,15,0.001,2,10000,10000,2,95,2,13099,0
"article_0_1_0_0_0.RDa","article_0_1_0_0_0.RDa",1,0.3,0.3,0.3,0,0,15,0.1,2,1000,10000,2,5,1,23,0
"article_0_1_0_0_1.RDa","article_0_1_0_0_1.RDa",1,0.3,0.3,0.3,0,0,15,0.1,2,10000,10000,2,1,2,16186,0
"article_0_1_0_1_0.RDa","article_0_1_0_1_0.RDa",1,0.3,0.3,0.3,0,0,15,0.01,2,1000,10000,2,1,12,18,0
"article_0_1_0_1_1.RDa","article_0_1_0_1_1.RDa",1,0.3,0.3,0.3,0,0,15,0.01,2,10000,10000,2,3,3,38,0
"article_0_1_0_2_0.RDa","article_0_1_0_2_0.RDa",1,0.3,0.3,0.3,0,0,15,0.001,2,1000,10000,2,2,2,14,0
"article_0_1_0_2_1.RDa","article_0_1_0_2_1.RDa",1,0.3,0.3,0.3,0,0,15,0.001,2,10000,10000,2,11,2,453,0
"article_0_1_1_0_0.RDa","article_0_1_1_0_0.RDa",1,0.3,0.3,0.3,0.1,0.1,15,0.1,2,1000,10000,2,11,5,197,0
"article_0_1_1_0_1.RDa","article_0_1_1_0_1.RDa",1,0.3,0.3,0.3,0.1,0.1,15,0.1,2,10000,10000,2,20,3,344,0
"article_0_1_1_1_0.RDa","article_0_1_1_1_0.RDa",1,0.3,0.3,0.3,0.1,0.1,15,0.01,2,1000,10000,2,2,2,13,0
"article_0_1_1_1_1.RDa","article_0_1_1_1_1.RDa",1,0.3,0.3,0.3,0.1,0.1,15,0.01,2,10000,10000,2,7,2,17058,0
"article_0_1_1_2_0.RDa","article_0_1_1_2_0.RDa",1,0.3,0.3,0.3,0.1,0.1,15,0.001,2,1000,10000,2,3,3,175,0
"article_0_1_1_2_1.RDa","article_0_1_1_2_1.RDa",1,0.3,0.3,0.3,0.1,0.1,15,0.001,2,10000,10000,2,3,1,18,0
"article_0_1_2_0_0.RDa","article_0_1_2_0_0.RDa",1,0.3,0.3,0.3,0.2,0.2,15,0.1,2,1000,10000,2,13,2,54,0
