"","filename","species_tree","alignment","beast_run","state","nrbs"
"1","article_0_0_0_0_0.RDa",1,1,1,1,162.632784686402
"2","article_0_0_0_0_0.RDa",1,1,1,2,94.4474157016887
"3","article_0_0_0_0_0.RDa",1,1,1,3,69.9482781864262
"4","article_0_0_0_0_0.RDa",1,1,1,4,63.879773498238
"5","article_0_0_0_0_0.RDa",1,1,1,5,48.6029718500523
"6","article_0_0_0_0_0.RDa",1,1,1,6,41.1949908572106
"7","article_0_0_0_0_0.RDa",1,1,1,7,41.1527361608402
"8","article_0_0_0_0_0.RDa",1,1,1,8,41.7571216196896
"9","article_0_0_0_0_0.RDa",1,1,1,9,41.3291619856192
"10","article_0_0_0_0_0.RDa",1,1,1,10,42.3844601605503
"11","article_0_0_0_0_0.RDa",1,1,2,1,156.882161705543
"12","article_0_0_0_0_0.RDa",1,1,2,2,77.3481763539497
"13","article_0_0_0_0_0.RDa",1,1,2,3,62.6403687817425
"14","article_0_0_0_0_0.RDa",1,1,2,4,68.2885674915194
"15","article_0_0_0_0_0.RDa",1,1,2,5,68.8096066762569
"16","article_0_0_0_0_0.RDa",1,1,2,6,60.7927087175478
"17","article_0_0_0_0_0.RDa",1,1,2,7,51.596788470777
"18","article_0_0_0_0_0.RDa",1,1,2,8,45.643794386578
"19","article_0_0_0_0_0.RDa",1,1,2,9,44.2220811616525
"20","article_0_0_0_0_0.RDa",1,1,2,10,43.5739095224348
"21","article_0_0_0_0_0.RDa",1,2,1,1,99.6939808602073
"22","article_0_0_0_0_0.RDa",1,2,1,2,78.1347391782074
"23","article_0_0_0_0_0.RDa",1,2,1,3,76.4489554119895
"24","article_0_0_0_0_0.RDa",1,2,1,4,67.2268713336575
"25","article_0_0_0_0_0.RDa",1,2,1,5,65.6857478695402
"26","article_0_0_0_0_0.RDa",1,2,1,6,55.5133394624369
"27","article_0_0_0_0_0.RDa",1,2,1,7,46.5386407337471
"28","article_0_0_0_0_0.RDa",1,2,1,8,44.2709809447732
"29","article_0_0_0_0_0.RDa",1,2,1,9,44.2014915297571
"30","article_0_0_0_0_0.RDa",1,2,1,10,44.7164042925477
"31","article_0_0_0_0_0.RDa",1,2,2,1,119.789116233551
"32","article_0_0_0_0_0.RDa",1,2,2,2,81.746303414961
"33","article_0_0_0_0_0.RDa",1,2,2,3,83.5392270942475
"34","article_0_0_0_0_0.RDa",1,2,2,4,77.3129139721519
"35","article_0_0_0_0_0.RDa",1,2,2,5,51.6776042356987
"36","article_0_0_0_0_0.RDa",1,2,2,6,51.1941899885884
