"","filename","species_tree","alignment","beast_run","state","t","nltt"
"1","toy_example_1.RDa",1,1,1,1,0,0.0625
"2","toy_example_1.RDa",1,1,1,1,0.1,0.09375
"3","toy_example_1.RDa",1,1,1,1,0.2,0.125
"4","toy_example_1.RDa",1,1,1,1,0.3,0.125
"5","toy_example_1.RDa",1,1,1,1,0.4,0.125
"6","toy_example_1.RDa",1,1,1,1,0.5,0.1875
"7","toy_example_1.RDa",1,1,1,1,0.6,0.3125
"8","toy_example_1.RDa",1,1,1,1,0.7,0.5
"9","toy_example_1.RDa",1,1,1,1,0.8,0.65625
"10","toy_example_1.RDa",1,1,1,1,0.9,0.84375
"11","toy_example_1.RDa",1,1,1,1,1,1
"12","toy_example_1.RDa",1,1,1,2,0,0.0625
"13","toy_example_1.RDa",1,1,1,2,0.1,0.09375
"14","toy_example_1.RDa",1,1,1,2,0.2,0.125
"15","toy_example_1.RDa",1,1,1,2,0.3,0.125
"16","toy_example_1.RDa",1,1,1,2,0.4,0.21875
"17","toy_example_1.RDa",1,1,1,2,0.5,0.40625
"18","toy_example_1.RDa",1,1,1,2,0.6,0.53125
"19","toy_example_1.RDa",1,1,1,2,0.7,0.65625
"20","toy_example_1.RDa",1,1,1,2,0.8,0.75
"21","toy_example_1.RDa",1,1,1,2,0.9,0.875
"22","toy_example_1.RDa",1,1,1,2,1,1
"23","toy_example_1.RDa",1,1,1,3,0,0.0625
"24","toy_example_1.RDa",1,1,1,3,0.1,0.0625
"25","toy_example_1.RDa",1,1,1,3,0.2,0.09375
"26","toy_example_1.RDa",1,1,1,3,0.3,0.09375
"27","toy_example_1.RDa",1,1,1,3,0.4,0.125
"28","toy_example_1.RDa",1,1,1,3,0.5,0.25
"29","toy_example_1.RDa",1,1,1,3,0.6,0.40625
"30","toy_example_1.RDa",1,1,1,3,0.7,0.4375
"31","toy_example_1.RDa",1,1,1,3,0.8,0.59375
"32","toy_example_1.RDa",1,1,1,3,0.9,0.8125
"33","toy_example_1.RDa",1,1,1,3,1,1
"34","toy_example_1.RDa",1,1,1,4,0,0.0625
"35","toy_example_1.RDa",1,1,1,4,0.1,0.0625
"36","toy_example_1.RDa",1,1,1,4,0.2,0.0625
"37","toy_example_1.RDa",1,1,1,4,0.3,0.09375
"38","toy_example_1.RDa",1,1,1,4,0.4,0.09375
"39","toy_example_1.RDa",1,1,1,4,0.5,0.21875
"40","toy_example_1.RDa",1,1,1,4,0.6,0.375
"41","toy_example_1.RDa",1,1,1,4,0.7,0.46875
"42","toy_example_1.RDa",1,1,1,4,0.8,0.625
"43","toy_example_1.RDa",1,1,1,4,0.9,0.8125
"44","toy_example_1.RDa",1,1,1,4,1,1
"45","toy_example_1.RDa",1,1,1,5,0,0.0625
"46","toy_example_1.RDa",1,1,1,5,0.1,0.0625
"47","toy_example_1.RDa",1,1,1,5,0.2,0.0625
"48","toy_example_1.RDa",1,1,1,5,0.3,0.09375
"49","toy_example_1.RDa",1,1,1,5,0.4,0.125
"50","toy_example_1.RDa",1,1,1,5,0.5,0.21875
"51","toy_example_1.RDa",1,1,1,5,0.6,0.40625
"52","toy_example_1.RDa",1,1,1,5,0.7,0.46875
"53","toy_example_1.RDa",1,1,1,5,0.8,0.5625
"54","toy_example_1.RDa",1,1,1,5,0.9,0.84375
"55","toy_example_1.RDa",1,1,1,5,1,1
"56","toy_example_1.RDa",1,1,1,6,0,0.0625
"57","toy_example_1.RDa",1,1,1,6,0.1,0.0625
"58","toy_example_1.RDa",1,1,1,6,0.2,0.09375
"59","toy_example_1.RDa",1,1,1,6,0.3,0.09375
"60","toy_example_1.RDa",1,1,1,6,0.4,0.15625
"61","toy_example_1.RDa",1,1,1,6,0.5,0.21875
"62","toy_example_1.RDa",1,1,1,6,0.6,0.375
"63","toy_example_1.RDa",1,1,1,6,0.7,0.4375
"64","toy_example_1.RDa",1,1,1,6,0.8,0.59375
"65","toy_example_1.RDa",1,1,1,6,0.9,0.8125
"66","toy_example_1.RDa",1,1,1,6,1,1
"67","toy_example_1.RDa",1,1,1,7,0,0.0625
"68","toy_example_1.RDa",1,1,1,7,0.1,0.0625
"69","toy_example_1.RDa",1,1,1,7,0.2,0.09375
"70","toy_example_1.RDa",1,1,1,7,0.3,0.09375
"71","toy_example_1.RDa",1,1,1,7,0.4,0.1875
"72","toy_example_1.RDa",1,1,1,7,0.5,0.25
"73","toy_example_1.RDa",1,1,1,7,0.6,0.375
"74","toy_example_1.RDa",1,1,1,7,0.7,0.4375
"75","toy_example_1.RDa",1,1,1,7,0.8,0.5625
"76","toy_example_1.RDa",1,1,1,7,0.9,0.78125
"77","toy_example_1.RDa",1,1,1,7,1,1
"78","toy_example_1.RDa",1,1,1,8,0,0.0625
"79","toy_example_1.RDa",1,1,1,8,0.1,0.0625
"80","toy_example_1.RDa",1,1,1,8,0.2,0.0625
"81","toy_example_1.RDa",1,1,1,8,0.3,0.125
"82","toy_example_1.RDa",1,1,1,8,0.4,0.15625
"83","toy_example_1.RDa",1,1,1,8,0.5,0.25
"84","toy_example_1.RDa",1,1,1,8,0.6,0.40625
"85","toy_example_1.RDa",1,1,1,8,0.7,0.46875
"86","toy_example_1.RDa",1,1,1,8,0.8,0.5625
"87","toy_example_1.RDa",1,1,1,8,0.9,0.8125
"88","toy_example_1.RDa",1,1,1,8,1,1
"89","toy_example_1.RDa",1,1,1,9,0,0.0625
"90","toy_example_1.RDa",1,1,1,9,0.1,0.0625
"91","toy_example_1.RDa",1,1,1,9,0.2,0.09375
"92","toy_example_1.RDa",1,1,1,9,0.3,0.09375
"93","toy_example_1.RDa",1,1,1,9,0.4,0.1875
"94","toy_example_1.RDa",1,1,1,9,0.5,0.28125
"95","toy_example_1.RDa",1,1,1,9,0.6,0.40625
"96","toy_example_1.RDa",1,1,1,9,0.7,0.46875
"97","toy_example_1.RDa",1,1,1,9,0.8,0.5625
"98","toy_example_1.RDa",1,1,1,9,0.9,0.78125
"99","toy_example_1.RDa",1,1,1,9,1,1
"100","toy_example_1.RDa",1,1,1,10,0,0.0625
"101","toy_example_1.RDa",1,1,1,10,0.1,0.0625
"102","toy_example_1.RDa",1,1,1,10,0.2,0.09375
"103","toy_example_1.RDa",1,1,1,10,0.3,0.125
"104","toy_example_1.RDa",1,1,1,10,0.4,0.15625
"105","toy_example_1.RDa",1,1,1,10,0.5,0.28125
