#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:toy_example_2_1_1_1" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:toy_example_2_1_1_1" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:toy_example_2_1_1_1" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:toy_example_2_1_1_1">
#                <taxonset id="TaxonSet.toy_example_2_1_1_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:toy_example_2_1_1_1" name="distribution" x="@birthRate2.t:toy_example_2_1_1_1">
#            <Uniform id="Uniform.0" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:toy_example_2_1_1_1" name="distribution" x="@relativeDeathRate2.t:toy_example_2_1_1_1">
#            <Uniform id="Uniform.01" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@toy_example_2_1_1_1" id="treeLikelihood.toy_example_2_1_1_1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:toy_example_2_1_1_1">
#            <siteModel id="SiteModel.s:toy_example_2_1_1_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:toy_example_2_1_1_1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:toy_example_2_1_1_1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:toy_example_2_1_1_1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:toy_example_2_1_1_1" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:toy_example_2_1_1_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:toy_example_2_1_1_1" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	birthRate2	relativeDeathRate2	
0	-6244.751251268472	-6236.0353393633095	-8.715911905161716	-6236.0353393633095	1.4951467863082277	-1.8081566261795796	1.0	0.5	
1000	-3011.871395136474	-3029.057799780526	17.18640464405192	-3029.057799780526	0.052403799531817535	24.094159923034056	5.981643185983653	0.8268303599298642	
2000	-3011.614975588922	-3029.751955221407	18.136979632485225	-3029.751955221407	0.05216802489663865	25.044734911467362	12.340924122364997	0.6410055813070556	
3000	-3013.284366124041	-3030.4737407089056	17.189374584864883	-3030.4737407089056	0.05397808815433234	24.09712986384702	26.017438979483746	0.5405898456197762	
4000	-3011.5403366378414	-3029.028321031474	17.48798439363266	-3029.028321031474	0.05367925984422124	24.3957396726148	11.779329230341995	0.4913272218884608	
5000	-3009.1844481489657	-3026.7955042540175	17.611056105051965	-3026.7955042540175	0.061138690501146536	24.5188113840341	13.413979387591517	0.5536479451038862	
6000	-3012.718812441036	-3030.2859532145844	17.56714077354875	-3030.2859532145844	0.06138017763518054	24.474896052530887	29.74187945656311	0.6334611503878573	
7000	-3014.520821737174	-3030.866409993671	16.34558825649691	-3030.866409993671	0.05730594960520629	23.253343535479047	24.409482087815814	0.7336128149803007	
8000	-3014.657758854949	-3033.085712467615	18.427953612666144	-3033.085712467615	0.05830354270497756	25.33570889164828	19.643838192734144	0.5041888698586419	
9000	-3009.893386334162	-3028.07175826965	18.178371935487906	-3028.07175826965	0.05776216076412909	25.086127214470043	23.203672942496553	0.6653964090628034	
10000	-3014.790561160085	-3032.420192496013	17.62963133592818	-3032.420192496013	0.06056449399848339	24.537386614910318	33.512121408263035	0.18857525481313067	
