"","filename","n_posteriors"
"1","article_0_0_0_0_0.RDa",8
"2","article_0_0_0_0_1.RDa",8
"3","article_0_0_0_1_0.RDa",8
"4","article_0_0_0_1_1.RDa",8
"5","article_0_0_0_2_0.RDa",8
"6","article_0_0_0_2_1.RDa",8
"7","article_0_0_1_0_0.RDa",8
"8","article_0_0_1_0_1.RDa",8
"9","article_0_0_1_1_0.RDa",8
"10","article_0_0_1_1_1.RDa",8
"11","article_0_0_1_2_0.RDa",8
"12","article_0_0_1_2_1.RDa",8
"13","article_0_0_2_0_0.RDa",8
"14","article_0_0_2_0_1.RDa",8
"15","article_0_0_2_1_0.RDa",8
"16","article_0_0_2_1_1.RDa",8
"17","article_0_0_2_2_0.RDa",8
"18","article_0_0_2_2_1.RDa",8
"19","article_0_1_0_0_0.RDa",8
"20","article_0_1_0_0_1.RDa",8
"21","article_0_1_0_1_0.RDa",8
"22","article_0_1_0_1_1.RDa",8
"23","article_0_1_0_2_0.RDa",8
"24","article_0_1_0_2_1.RDa",8
"25","article_0_1_1_0_0.RDa",8
"26","article_0_1_1_0_1.RDa",8
"27","article_0_1_1_1_0.RDa",8
"28","article_0_1_1_1_1.RDa",8
"29","article_0_1_1_2_0.RDa",8
"30","article_0_1_1_2_1.RDa",8
"31","article_0_1_2_0_0.RDa",8
"32","article_0_1_2_0_1.RDa",8
"33","article_0_1_2_1_0.RDa",8
"34","article_0_1_2_1_1.RDa",8
"35","article_0_1_2_2_0.RDa",8
"36","article_0_1_2_2_1.RDa",8
"37","article_0_2_0_0_0.RDa",8
"38","article_0_2_0_0_1.RDa",8
"39","article_0_2_0_1_0.RDa",8
"40","article_0_2_0_1_1.RDa",8
"41","article_0_2_0_2_0.RDa",8
"42","article_0_2_0_2_1.RDa",8
"43","article_0_2_1_0_0.RDa",8
"44","article_0_2_1_0_1.RDa",8
"45","article_0_2_1_1_0.RDa",8
"46","article_0_2_1_1_1.RDa",8
"47","article_0_2_1_2_0.RDa",8
"48","article_0_2_1_2_1.RDa",8
"49","article_0_2_2_0_0.RDa",8
"50","article_0_2_2_0_1.RDa",8
"51","article_0_2_2_1_0.RDa",8
"52","article_0_2_2_1_1.RDa",8
"53","article_0_2_2_2_0.RDa",8
"54","article_0_2_2_2_1.RDa",8
"55","article_0_3_0_0_0.RDa",8
"56","article_0_3_0_0_1.RDa",1
"57","article_0_3_0_1_0.RDa",8
"58","article_0_3_0_1_1.RDa",1
"59","article_0_3_0_2_0.RDa",8
"60","article_0_3_0_2_1.RDa",8
"61","article_0_3_1_0_0.RDa",8
"62","article_0_3_1_0_1.RDa",8
"63","article_0_3_1_1_0.RDa",8
"64","article_0_3_1_1_1.RDa",8
"65","article_0_3_1_2_0.RDa",8
"66","article_0_3_1_2_1.RDa",8
"67","article_0_3_2_0_0.RDa",8
"68","article_0_3_2_0_1.RDa",8
"69","article_0_3_2_1_0.RDa",8
"70","article_0_3_2_1_1.RDa",8
"71","article_0_3_2_2_0.RDa",8
"72","article_0_3_2_2_1.RDa",8
"73","article_1_0_0_0_0.RDa",8
"74","article_1_0_0_0_1.RDa",0
"75","article_1_0_0_1_0.RDa",8
"76","article_1_0_0_1_1.RDa",0
"77","article_1_0_0_2_0.RDa",8
"78","article_1_0_0_2_1.RDa",1
"79","article_1_0_1_0_0.RDa",8
"80","article_1_0_1_0_1.RDa",8
"81","article_1_0_1_1_0.RDa",8
"82","article_1_0_1_1_1.RDa",8
"83","article_1_0_1_2_0.RDa",8
"84","article_1_0_1_2_1.RDa",8
"85","article_1_0_2_0_0.RDa",8
"86","article_1_0_2_0_1.RDa",8
"87","article_1_0_2_1_0.RDa",8
"88","article_1_0_2_1_1.RDa",8
"89","article_1_0_2_2_0.RDa",8
"90","article_1_0_2_2_1.RDa",8
"91","article_1_0_3_0_0.RDa",8
"92","article_1_0_3_0_1.RDa",8
"93","article_1_0_3_1_0.RDa",8
"94","article_1_0_3_1_1.RDa",8
"95","article_1_0_3_2_0.RDa",8
"96","article_1_0_3_2_1.RDa",8
"97","article_1_1_0_0_0.RDa",1
"98","article_1_1_0_0_1.RDa",0
"99","article_1_1_0_1_0.RDa",1
"100","article_1_1_0_1_1.RDa",0
"101","article_1_1_0_2_0.RDa",1
"102","article_1_1_0_2_1.RDa",0
"103","article_1_1_1_0_0.RDa",8
"104","article_1_1_1_0_1.RDa",8
"105","article_1_1_1_1_0.RDa",8
"106","article_1_1_1_1_1.RDa",8
"107","article_1_1_1_2_0.RDa",8
"108","article_1_1_1_2_1.RDa",8
"109","article_1_1_2_0_0.RDa",8
"110","article_1_1_2_0_1.RDa",8
"111","article_1_1_2_1_0.RDa",8
"112","article_1_1_2_1_1.RDa",8
"113","article_1_1_2_2_0.RDa",8
"114","article_1_1_2_2_1.RDa",8
"115","article_1_1_3_0_0.RDa",8
"116","article_1_1_3_0_1.RDa",8
"117","article_1_1_3_1_0.RDa",8
"118","article_1_1_3_1_1.RDa",8
"119","article_1_1_3_2_0.RDa",8
"120","article_1_1_3_2_1.RDa",8
"121","article_1_2_0_0_0.RDa",0
"122","article_1_2_0_0_1.RDa",0
"123","article_1_2_0_1_0.RDa",0
"124","article_1_2_0_1_1.RDa",0
"125","article_1_2_0_2_0.RDa",0
"126","article_1_2_0_2_1.RDa",0
"127","article_1_2_1_0_0.RDa",8
"128","article_1_2_1_0_1.RDa",0
"129","article_1_2_1_1_0.RDa",8
"130","article_1_2_1_1_1.RDa",0
"131","article_1_2_1_2_0.RDa",8
"132","article_1_2_1_2_1.RDa",0
"133","article_1_2_2_0_0.RDa",8
"134","article_1_2_2_0_1.RDa",8
"135","article_1_2_2_1_0.RDa",8
"136","article_1_2_2_1_1.RDa",8
"137","article_1_2_2_2_0.RDa",8
"138","article_1_2_2_2_1.RDa",8
"139","article_1_2_3_0_0.RDa",8
"140","article_1_2_3_0_1.RDa",8
"141","article_1_2_3_1_0.RDa",8
"142","article_1_2_3_1_1.RDa",8
"143","article_1_2_3_2_0.RDa",8
"144","article_1_2_3_2_1.RDa",8
"145","article_1_3_0_0_0.RDa",0
"146","article_1_3_0_0_1.RDa",0
"147","article_1_3_0_1_0.RDa",0
"148","article_1_3_0_1_1.RDa",0
"149","article_1_3_0_2_0.RDa",0
"150","article_1_3_0_2_1.RDa",0
"151","article_1_3_1_0_0.RDa",0
"152","article_1_3_1_0_1.RDa",0
"153","article_1_3_1_1_0.RDa",0
"154","article_1_3_1_1_1.RDa",0
"155","article_1_3_1_2_0.RDa",0
"156","article_1_3_1_2_1.RDa",0
"157","article_1_3_2_0_0.RDa",8
"158","article_1_3_2_0_1.RDa",8
"159","article_1_3_2_1_0.RDa",8
"160","article_1_3_2_1_1.RDa",8
"161","article_1_3_2_2_0.RDa",8
"162","article_1_3_2_2_1.RDa",8
"163","article_1_3_3_0_0.RDa",8
"164","article_1_3_3_0_1.RDa",8
"165","article_1_3_3_1_0.RDa",8
"166","article_1_3_3_1_1.RDa",8
"167","article_1_3_3_2_0.RDa",8
"168","article_1_3_3_2_1.RDa",8
