"","filenames","species_tree","gamma_stat"
"75","article_0_1_1_2_0.RDa",2,-2.40589207407565
"76","article_0_1_1_2_1.RDa",1,-2.40589207407565
"77","article_0_1_1_2_1.RDa",2,-2.40589207407565
"78","article_0_1_1_2_2.RDa",1,-2.40589207407565
"79","article_0_1_1_2_2.RDa",2,-2.40589207407565
"80","article_0_1_2_0_0.RDa",NA,NA
"81","article_0_1_2_0_1.RDa",1,-0.333532520093917
"82","article_0_1_2_0_1.RDa",2,-0.333532520093917
"83","article_0_1_2_0_2.RDa",1,-0.333532520093917
"84","article_0_1_2_0_2.RDa",2,-0.333532520093917
"85","article_0_1_2_1_0.RDa",NA,NA
"86","article_0_1_2_1_1.RDa",1,-0.333532520093917
"87","article_0_1_2_1_1.RDa",2,-0.333532520093917
"88","article_0_1_2_1_2.RDa",1,-0.333532520093917
"89","article_0_1_2_1_2.RDa",2,-0.333532520093917
"90","article_0_1_2_2_0.RDa",NA,NA
"91","article_0_1_2_2_1.RDa",1,-0.333532520093917
"92","article_0_1_2_2_1.RDa",2,-0.333532520093917
"93","article_0_1_2_2_2.RDa",1,-0.333532520093917
"94","article_0_1_2_2_2.RDa",2,-0.333532520093917
"95","article_0_1_3_0_0.RDa",1,-0.970698830859415
"96","article_0_1_3_0_0.RDa",2,-0.970698830859415
"97","article_0_1_3_0_1.RDa",NA,NA
"98","article_0_1_3_0_2.RDa",1,-0.970698830859415
"99","article_0_1_3_0_2.RDa",2,-0.970698830859415
"100","article_0_1_3_1_0.RDa",NA,NA
"101","article_0_1_3_1_1.RDa",1,-0.970698830859415
"102","article_0_1_3_1_1.RDa",2,-0.970698830859415
"103","article_0_1_3_1_2.RDa",NA,NA
"104","article_0_1_3_2_0.RDa",NA,NA
"105","article_0_1_3_2_1.RDa",NA,NA
"106","article_0_1_3_2_2.RDa",NA,NA
"107","article_0_1_4_0_0.RDa",NA,NA
"108","article_0_1_4_0_1.RDa",NA,NA
"109","article_0_1_4_0_2.RDa",NA,NA
"110","article_0_1_4_1_0.RDa",NA,NA
"111","article_0_1_4_1_1.RDa",1,-1.73205080756888
"112","article_0_1_4_1_1.RDa",2,-1.73205080756888
"113","article_0_1_4_1_2.RDa",1,-1.73205080756888
"114","article_0_1_4_1_2.RDa",2,-1.73205080756888
"115","article_0_1_4_2_0.RDa",1,-1.73205080756888
"116","article_0_1_4_2_0.RDa",2,-1.73205080756888
"117","article_0_1_4_2_1.RDa",1,-1.73205080756888
"118","article_0_1_4_2_1.RDa",2,-1.73205080756888
"119","article_0_1_4_2_2.RDa",NA,NA
"120","article_0_2_0_0_0.RDa",1,0.812062235162103
"121","article_0_2_0_0_0.RDa",2,0.558703114675471
"122","article_0_2_0_0_1.RDa",NA,NA
"123","article_0_2_0_0_2.RDa",1,0.812062235162103
"124","article_0_2_0_0_2.RDa",2,0.558703114675471
"125","article_0_2_0_1_0.RDa",NA,NA
"126","article_0_2_0_1_1.RDa",NA,NA
"127","article_0_2_0_1_2.RDa",1,0.812062235162103
"128","article_0_2_0_1_2.RDa",2,0.558703114675471
"129","article_0_2_0_2_0.RDa",1,0.812062235162103
"130","article_0_2_0_2_0.RDa",2,0.558703114675471
"131","article_0_2_0_2_1.RDa",1,0.812062235162103
"132","article_0_2_0_2_1.RDa",2,0.558703114675471
"133","article_0_2_0_2_2.RDa",1,0.812062235162103
"134","article_0_2_0_2_2.RDa",2,0.558703114675471
"135","article_0_2_1_0_0.RDa",1,0.465855878008085
"136","article_0_2_1_0_0.RDa",2,0.465855878008085
"137","article_0_2_1_0_1.RDa",1,0.465855878008085
"138","article_0_2_1_0_1.RDa",2,0.465855878008085
"139","article_0_2_1_0_2.RDa",NA,NA
"140","article_0_2_1_1_0.RDa",1,0.465855878008085
"141","article_0_2_1_1_0.RDa",2,0.465855878008085
"142","article_0_2_1_1_1.RDa",NA,NA
"143","article_0_2_1_1_2.RDa",1,0.465855878008085
"144","article_0_2_1_1_2.RDa",2,0.465855878008085
"145","article_0_2_1_2_0.RDa",NA,NA
"146","article_0_2_1_2_1.RDa",1,0.465855878008085
"147","article_0_2_1_2_1.RDa",2,0.465855878008085
"148","article_0_2_1_2_2.RDa",NA,NA
"149","article_0_2_2_0_0.RDa",NA,NA
"150","article_0_2_2_0_1.RDa",NA,NA
"151","article_0_2_2_0_2.RDa",NA,NA
"152","article_0_2_2_1_0.RDa",NA,NA
"153","article_0_2_2_1_1.RDa",1,-1.73205080756888
"154","article_0_2_2_1_1.RDa",2,-1.73205080756888
"155","article_0_2_2_1_2.RDa",NA,NA
"156","article_0_2_2_2_0.RDa",NA,NA
"157","article_0_2_2_2_1.RDa",NA,NA
"158","article_0_2_2_2_2.RDa",NA,NA
"159","article_0_2_3_0_0.RDa",NA,NA
"160","article_0_2_3_0_1.RDa",NA,NA
"161","article_0_2_3_0_2.RDa",NA,NA
"162","article_0_2_3_1_0.RDa",NA,NA
"163","article_0_2_3_1_1.RDa",NA,NA
"164","article_0_2_3_1_2.RDa",NA,NA
"165","article_0_2_3_2_0.RDa",NA,NA
"166","article_0_2_3_2_1.RDa",NA,NA
"167","article_0_2_3_2_2.RDa",NA,NA
"168","article_0_2_4_0_0.RDa",NA,NA
"169","article_0_2_4_0_1.RDa",1,-1.73205080756888
"170","article_0_2_4_0_1.RDa",2,-1.73205080756888
"171","article_0_2_4_0_2.RDa",NA,NA
"172","article_0_2_4_1_0.RDa",NA,NA
"173","article_0_2_4_1_1.RDa",NA,NA
"174","article_0_2_4_1_2.RDa",1,-1.73205080756888
"175","article_0_2_4_1_2.RDa",2,-1.73205080756888
"176","article_0_2_4_2_0.RDa",NA,NA
"177","article_0_2_4_2_1.RDa",NA,NA
"178","article_0_2_4_2_2.RDa",1,-1.73205080756888
"179","article_0_2_4_2_2.RDa",2,-1.73205080756888
"180","article_0_3_0_0_0.RDa",1,0.260766372239135
"181","article_0_3_0_0_0.RDa",2,0.260766372239135
"182","article_0_3_0_0_1.RDa",1,0.260766372239135
"183","article_0_3_0_0_1.RDa",2,0.260766372239135
"184","article_0_3_0_0_2.RDa",1,0.260766372239135
"185","article_0_3_0_0_2.RDa",2,0.260766372239135
"186","article_0_3_0_1_0.RDa",1,0.260766372239135
"187","article_0_3_0_1_0.RDa",2,0.260766372239135
"188","article_0_3_0_1_1.RDa",1,0.260766372239135
"189","article_0_3_0_1_1.RDa",2,0.260766372239135
"190","article_0_3_0_1_2.RDa",1,0.260766372239135
"191","article_0_3_0_1_2.RDa",2,0.260766372239135
"192","article_0_3_0_2_0.RDa",1,0.260766372239135
"193","article_0_3_0_2_0.RDa",2,0.260766372239135
"194","article_0_3_0_2_1.RDa",1,0.260766372239135
"195","article_0_3_0_2_1.RDa",2,0.260766372239135
"196","article_0_3_0_2_2.RDa",1,0.260766372239135
"197","article_0_3_0_2_2.RDa",2,0.260766372239135
"198","article_0_3_1_0_0.RDa",1,-0.23034754684365
"199","article_0_3_1_0_0.RDa",2,-0.23034754684365
"200","article_0_3_1_0_1.RDa",1,-0.23034754684365
"201","article_0_3_1_0_1.RDa",2,-0.23034754684365
"202","article_0_3_1_0_2.RDa",1,-0.23034754684365
"203","article_0_3_1_0_2.RDa",2,-0.23034754684365
"204","article_0_3_1_1_0.RDa",1,-0.23034754684365
"205","article_0_3_1_1_0.RDa",2,-0.23034754684365
"206","article_0_3_1_1_1.RDa",1,-0.23034754684365
"207","article_0_3_1_1_1.RDa",2,-0.23034754684365
"208","article_0_3_1_1_2.RDa",1,-0.23034754684365
"209","article_0_3_1_1_2.RDa",2,-0.23034754684365
"210","article_0_3_1_2_0.RDa",NA,NA
"211","article_0_3_1_2_1.RDa",1,-0.23034754684365
"212","article_0_3_1_2_1.RDa",2,-0.23034754684365
"213","article_0_3_1_2_2.RDa",1,-0.23034754684365
"214","article_0_3_1_2_2.RDa",2,-0.23034754684365
"215","article_0_3_2_0_0.RDa",1,-0.512488334179739
"216","article_0_3_2_0_0.RDa",2,-0.512488334179739
"217","article_0_3_2_0_1.RDa",1,-0.512488334179739
"218","article_0_3_2_0_1.RDa",2,-0.512488334179739
"219","article_0_3_2_0_2.RDa",1,-0.512488334179739
"220","article_0_3_2_0_2.RDa",2,-0.512488334179739
"221","article_0_3_2_1_0.RDa",1,-0.512488334179739
"222","article_0_3_2_1_0.RDa",2,-0.512488334179739
"223","article_0_3_2_1_1.RDa",1,-0.512488334179739
"224","article_0_3_2_1_1.RDa",2,-0.512488334179739
"225","article_0_3_2_1_2.RDa",1,-0.512488334179739
"226","article_0_3_2_1_2.RDa",2,-0.512488334179739
"227","article_0_3_2_2_0.RDa",1,-0.512488334179739
"228","article_0_3_2_2_0.RDa",2,-0.512488334179739
"229","article_0_3_2_2_1.RDa",NA,NA
"230","article_0_3_2_2_2.RDa",1,-0.512488334179739
"231","article_0_3_2_2_2.RDa",2,-0.512488334179739
"232","article_0_3_3_0_0.RDa",1,-1.73205080756888
"233","article_0_3_3_0_0.RDa",2,-1.73205080756888
"234","article_0_3_3_0_1.RDa",1,-1.73205080756888
"235","article_0_3_3_0_1.RDa",2,-1.73205080756888
"236","article_0_3_3_0_2.RDa",NA,NA
"237","article_0_3_3_1_0.RDa",NA,NA
"238","article_0_3_3_1_1.RDa",NA,NA
"239","article_0_3_3_1_2.RDa",NA,NA
"240","article_0_3_3_2_0.RDa",1,-1.73205080756888
"241","article_0_3_3_2_0.RDa",2,-1.73205080756888
"242","article_0_3_3_2_1.RDa",NA,NA
"243","article_0_3_3_2_2.RDa",NA,NA
"244","article_0_3_4_0_0.RDa",NA,NA
"245","article_0_3_4_0_1.RDa",NA,NA
"246","article_0_3_4_0_2.RDa",NA,NA
"247","article_0_3_4_1_0.RDa",NA,NA
"248","article_0_3_4_1_1.RDa",NA,NA
"249","article_0_3_4_1_2.RDa",NA,NA
"250","article_0_3_4_2_0.RDa",NA,NA
"251","article_0_3_4_2_1.RDa",NA,NA
"252","article_0_3_4_2_2.RDa",1,-1.73205080756888
"253","article_0_3_4_2_2.RDa",2,-1.73205080756888
"254","article_0_4_0_0_0.RDa",NA,NA
"255","article_0_4_0_0_1.RDa",NA,NA
"256","article_0_4_0_0_2.RDa",NA,NA
"257","article_0_4_0_1_0.RDa",NA,NA
"258","article_0_4_0_1_1.RDa",NA,NA
"259","article_0_4_0_1_2.RDa",NA,NA
"260","article_0_4_0_2_0.RDa",NA,NA
"261","article_0_4_0_2_1.RDa",1,-1.73205080756888
"262","article_0_4_0_2_1.RDa",2,-1.73205080756888
"263","article_0_4_0_2_2.RDa",1,-1.73205080756888
"264","article_0_4_0_2_2.RDa",2,-1.73205080756888
"265","article_0_4_1_0_0.RDa",NA,NA
"266","article_0_4_1_0_1.RDa",1,-1.73205080756888
"267","article_0_4_1_0_1.RDa",2,-1.73205080756888
"268","article_0_4_1_0_2.RDa",NA,NA
"269","article_0_4_1_1_0.RDa",NA,NA
"270","article_0_4_1_1_1.RDa",NA,NA
"271","article_0_4_1_1_2.RDa",NA,NA
"272","article_0_4_1_2_0.RDa",NA,NA
"273","article_0_4_1_2_1.RDa",NA,NA
"274","article_0_4_1_2_2.RDa",NA,NA
"275","article_0_4_2_0_0.RDa",1,-0.142524395543566
"276","article_0_4_2_0_0.RDa",2,-0.142524395543566
"277","article_0_4_2_0_1.RDa",1,-0.142524395543566
"278","article_0_4_2_0_1.RDa",2,-0.142524395543566
"279","article_0_4_2_0_2.RDa",NA,NA
"280","article_0_4_2_1_0.RDa",NA,NA
"281","article_0_4_2_1_1.RDa",NA,NA
"282","article_0_4_2_1_2.RDa",NA,NA
"283","article_0_4_2_2_0.RDa",NA,NA
"284","article_0_4_2_2_1.RDa",1,-0.142524395543566
"285","article_0_4_2_2_1.RDa",2,-0.142524395543566
"286","article_0_4_2_2_2.RDa",NA,NA
"287","article_0_4_3_0_0.RDa",NA,NA
"288","article_0_4_3_0_1.RDa",NA,NA
"289","article_0_4_3_0_2.RDa",NA,NA
"290","article_0_4_3_1_0.RDa",NA,NA
"291","article_0_4_3_1_1.RDa",NA,NA
"292","article_0_4_3_1_2.RDa",NA,NA
"293","article_0_4_3_2_0.RDa",NA,NA
"294","article_0_4_3_2_1.RDa",NA,NA
"295","article_0_4_3_2_2.RDa",NA,NA
"296","article_0_4_4_0_0.RDa",1,-0.118851351690976
"297","article_0_4_4_0_0.RDa",2,-0.118851351690976
"298","article_0_4_4_0_1.RDa",NA,NA
"299","article_0_4_4_0_2.RDa",NA,NA
"300","article_0_4_4_1_0.RDa",NA,NA
"301","article_0_4_4_1_1.RDa",NA,NA
"302","article_0_4_4_1_2.RDa",NA,NA
"303","article_0_4_4_2_0.RDa",NA,NA
"304","article_0_4_4_2_1.RDa",NA,NA
"305","article_0_4_4_2_2.RDa",NA,NA
"306","article_0_5_0_0_0.RDa",NA,NA
"307","article_0_5_0_0_1.RDa",1,-1.73205080756888
"308","article_0_5_0_0_1.RDa",2,-1.73205080756888
"309","article_0_5_0_0_2.RDa",1,-1.73205080756888
"310","article_0_5_0_0_2.RDa",2,-1.73205080756888
"311","article_0_5_0_1_0.RDa",NA,NA
"312","article_0_5_0_1_1.RDa",NA,NA
"313","article_0_5_0_1_2.RDa",NA,NA
"314","article_0_5_0_2_0.RDa",NA,NA
"315","article_0_5_0_2_1.RDa",1,-1.73205080756888
"316","article_0_5_0_2_1.RDa",2,-1.73205080756888
"317","article_0_5_0_2_2.RDa",NA,NA
"318","article_0_5_1_0_0.RDa",NA,NA
"319","article_0_5_1_0_1.RDa",NA,NA
"320","article_0_5_1_0_2.RDa",NA,NA
"321","article_0_5_1_1_0.RDa",NA,NA
"322","article_0_5_1_1_1.RDa",1,-1.73205080756888
"323","article_0_5_1_1_1.RDa",2,-1.73205080756888
"324","article_0_5_1_1_2.RDa",NA,NA
"325","article_0_5_1_2_0.RDa",NA,NA
"326","article_0_5_1_2_1.RDa",NA,NA
"327","article_0_5_1_2_2.RDa",NA,NA
"328","article_0_5_2_0_0.RDa",1,-1.73205080756888
"329","article_0_5_2_0_0.RDa",2,-1.73205080756888
"330","article_0_5_2_0_1.RDa",1,-1.73205080756888
"331","article_0_5_2_0_1.RDa",2,-1.73205080756888
"332","article_0_5_2_0_2.RDa",NA,NA
"333","article_0_5_2_1_0.RDa",NA,NA
"334","article_0_5_2_1_1.RDa",NA,NA
"335","article_0_5_2_1_2.RDa",NA,NA
"336","article_0_5_2_2_0.RDa",1,-1.73205080756888
"337","article_0_5_2_2_0.RDa",2,-1.73205080756888
"338","article_0_5_2_2_1.RDa",1,-1.73205080756888
"339","article_0_5_2_2_1.RDa",2,-1.73205080756888
"340","article_0_5_2_2_2.RDa",NA,NA
"341","article_0_5_3_0_0.RDa",NA,NA
"342","article_0_5_3_0_1.RDa",NA,NA
"343","article_0_5_3_0_2.RDa",NA,NA
"344","article_0_5_3_1_0.RDa",1,-1.73205080756888
"345","article_0_5_3_1_0.RDa",2,-1.73205080756888
"346","article_0_5_3_1_1.RDa",NA,NA
"347","article_0_5_3_1_2.RDa",NA,NA
"348","article_0_5_3_2_0.RDa",NA,NA
"349","article_0_5_3_2_1.RDa",NA,NA
"350","article_0_5_3_2_2.RDa",NA,NA
"351","article_0_5_4_0_0.RDa",NA,NA
"352","article_0_5_4_0_1.RDa",1,-1.73205080756888
"353","article_0_5_4_0_1.RDa",2,-1.73205080756888
"354","article_0_5_4_0_2.RDa",1,-1.73205080756888
"355","article_0_5_4_0_2.RDa",2,-1.73205080756888
"356","article_0_5_4_1_0.RDa",NA,NA
"357","article_0_5_4_1_1.RDa",NA,NA
"358","article_0_5_4_1_2.RDa",1,-1.73205080756888
"359","article_0_5_4_1_2.RDa",2,-1.73205080756888
"360","article_0_5_4_2_0.RDa",NA,NA
"361","article_0_5_4_2_1.RDa",NA,NA
"362","article_0_5_4_2_2.RDa",NA,NA
"363","article_1_0_0_0_0.RDa",NA,NA
"364","article_1_0_0_0_1.RDa",1,-14.4811855614625
"365","article_1_0_0_0_1.RDa",2,-14.5309979460458
"366","article_1_0_0_0_2.RDa",1,-14.4811855614625
"367","article_1_0_0_0_2.RDa",2,-14.5309979460458
"368","article_1_0_0_1_0.RDa",NA,NA
"369","article_1_0_0_1_1.RDa",1,-14.4811855614625
"370","article_1_0_0_1_1.RDa",2,-14.5309979460458
"371","article_1_0_0_1_2.RDa",1,-14.4811855614625
"372","article_1_0_0_1_2.RDa",2,-14.5309979460458
"373","article_1_0_0_2_0.RDa",NA,NA
"374","article_1_0_0_2_1.RDa",1,-14.4811855614625
"375","article_1_0_0_2_1.RDa",2,-14.5309979460458
"376","article_1_0_0_2_2.RDa",1,-14.4811855614625
"377","article_1_0_0_2_2.RDa",2,-14.5309979460458
"378","article_1_0_1_0_0.RDa",NA,NA
"379","article_1_0_1_0_1.RDa",NA,NA
"380","article_1_0_1_0_2.RDa",1,-8.43910065803825
"381","article_1_0_1_0_2.RDa",2,-7.70986563669985
"382","article_1_0_1_1_0.RDa",NA,NA
"383","article_1_0_1_1_1.RDa",NA,NA
"384","article_1_0_1_1_2.RDa",1,-8.43910065803825
"385","article_1_0_1_1_2.RDa",2,-7.70986563669985
"386","article_1_0_1_2_0.RDa",NA,NA
"387","article_1_0_1_2_1.RDa",NA,NA
"388","article_1_0_1_2_2.RDa",NA,NA
"389","article_1_0_2_0_0.RDa",1,-4.32787496429945
"390","article_1_0_2_0_0.RDa",2,-4.51876881039225
"391","article_1_0_2_0_1.RDa",1,-4.32787496429945
"392","article_1_0_2_0_1.RDa",2,-4.51876881039225
"393","article_1_0_2_0_2.RDa",NA,NA
"394","article_1_0_2_1_0.RDa",1,-4.32787496429945
"395","article_1_0_2_1_0.RDa",2,-4.51876881039225
"396","article_1_0_2_1_1.RDa",1,-4.32787496429945
"397","article_1_0_2_1_1.RDa",2,-4.51876881039225
"398","article_1_0_2_1_2.RDa",1,-4.32787496429945
"399","article_1_0_2_1_2.RDa",2,-4.51876881039225
"400","article_1_0_2_2_0.RDa",1,-4.32787496429945
"401","article_1_0_2_2_0.RDa",2,-4.51876881039225
"402","article_1_0_2_2_1.RDa",1,-4.32787496429945
"403","article_1_0_2_2_1.RDa",2,-4.51876881039225
"404","article_1_0_2_2_2.RDa",1,-4.32787496429945
"405","article_1_0_2_2_2.RDa",2,-4.51876881039225
"406","article_1_0_3_0_0.RDa",1,-1.17395240856623
"407","article_1_0_3_0_0.RDa",2,-1.60158480312617
"408","article_1_0_3_0_1.RDa",1,-1.17395240856623
"409","article_1_0_3_0_1.RDa",2,-1.60158480312617
"410","article_1_0_3_0_2.RDa",1,-1.17395240856623
"411","article_1_0_3_0_2.RDa",2,-1.60158480312617
"412","article_1_0_3_1_0.RDa",1,-1.17395240856623
"413","article_1_0_3_1_0.RDa",2,-1.60158480312617
"414","article_1_0_3_1_1.RDa",1,-1.17395240856623
"415","article_1_0_3_1_1.RDa",2,-1.60158480312617
"416","article_1_0_3_1_2.RDa",1,-1.17395240856623
"417","article_1_0_3_1_2.RDa",2,-1.60158480312617
"418","article_1_0_3_2_0.RDa",1,-1.17395240856623
"419","article_1_0_3_2_0.RDa",2,-1.60158480312617
"420","article_1_0_3_2_1.RDa",1,-1.17395240856623
"421","article_1_0_3_2_1.RDa",2,-1.60158480312617
"422","article_1_0_3_2_2.RDa",1,-1.17395240856623
"423","article_1_0_3_2_2.RDa",2,-1.60158480312617
"424","article_1_0_4_0_0.RDa",NA,NA
"425","article_1_0_4_0_1.RDa",NA,NA
"426","article_1_0_4_0_2.RDa",NA,NA
"427","article_1_0_4_1_0.RDa",NA,NA
"428","article_1_0_4_1_1.RDa",NA,NA
"429","article_1_0_4_1_2.RDa",NA,NA
"430","article_1_0_4_2_0.RDa",NA,NA
"431","article_1_0_4_2_1.RDa",NA,NA
"432","article_1_0_4_2_2.RDa",NA,NA
"433","article_1_1_0_0_0.RDa",NA,NA
"434","article_1_1_0_0_1.RDa",1,-11.3416799060722
"435","article_1_1_0_0_1.RDa",2,-11.2841958638606
"436","article_1_1_0_0_2.RDa",1,-11.3416799060722
"437","article_1_1_0_0_2.RDa",2,-11.2841958638606
"438","article_1_1_0_1_0.RDa",NA,NA
"439","article_1_1_0_1_1.RDa",1,-11.3416799060722
"440","article_1_1_0_1_1.RDa",2,-11.2841958638606
"441","article_1_1_0_1_2.RDa",1,-11.3416799060722
"442","article_1_1_0_1_2.RDa",2,-11.2841958638606
"443","article_1_1_0_2_0.RDa",NA,NA
"444","article_1_1_0_2_1.RDa",1,-11.3416799060722
"445","article_1_1_0_2_1.RDa",2,-11.2841958638606
"446","article_1_1_0_2_2.RDa",1,-11.3416799060722
"447","article_1_1_0_2_2.RDa",2,-11.2841958638606
"448","article_1_1_1_0_0.RDa",NA,NA
"449","article_1_1_1_0_1.RDa",1,-8.25580498911427
"450","article_1_1_1_0_1.RDa",2,-7.97691889441072
"451","article_1_1_1_0_2.RDa",1,-8.25580498911427
"452","article_1_1_1_0_2.RDa",2,-7.97691889441072
"453","article_1_1_1_1_0.RDa",NA,NA
"454","article_1_1_1_1_1.RDa",1,-8.25580498911427
"455","article_1_1_1_1_1.RDa",2,-7.97691889441072
"456","article_1_1_1_1_2.RDa",1,-8.25580498911427
"457","article_1_1_1_1_2.RDa",2,-7.97691889441072
"458","article_1_1_1_2_0.RDa",NA,NA
"459","article_1_1_1_2_1.RDa",1,-8.25580498911427
"460","article_1_1_1_2_1.RDa",2,-7.97691889441072
"461","article_1_1_1_2_2.RDa",1,-8.25580498911427
"462","article_1_1_1_2_2.RDa",2,-7.97691889441072
"463","article_1_1_2_0_0.RDa",NA,NA
"464","article_1_1_2_0_1.RDa",NA,NA
"465","article_1_1_2_0_2.RDa",1,-4.74237129650087
"466","article_1_1_2_0_2.RDa",2,-4.57806162469259
"467","article_1_1_2_1_0.RDa",NA,NA
"468","article_1_1_2_1_1.RDa",NA,NA
"469","article_1_1_2_1_2.RDa",1,-4.74237129650087
"470","article_1_1_2_1_2.RDa",2,-4.57806162469259
"471","article_1_1_2_2_0.RDa",NA,NA
"472","article_1_1_2_2_1.RDa",NA,NA
"473","article_1_1_2_2_2.RDa",NA,NA
"474","article_1_1_3_0_0.RDa",1,-0.274237814523473
"475","article_1_1_3_0_0.RDa",2,-0.370521672551523
"476","article_1_1_3_0_1.RDa",NA,NA
"477","article_1_1_3_0_2.RDa",1,-0.274237814523473
"478","article_1_1_3_0_2.RDa",2,-0.370521672551523
"479","article_1_1_3_1_0.RDa",NA,NA
"480","article_1_1_3_1_1.RDa",NA,NA
"481","article_1_1_3_1_2.RDa",NA,NA
"482","article_1_1_3_2_0.RDa",NA,NA
"483","article_1_1_3_2_1.RDa",NA,NA
"484","article_1_1_3_2_2.RDa",NA,NA
"485","article_1_1_4_0_0.RDa",NA,NA
"486","article_1_1_4_0_1.RDa",NA,NA
"487","article_1_1_4_0_2.RDa",NA,NA
"488","article_1_1_4_1_0.RDa",NA,NA
"489","article_1_1_4_1_1.RDa",NA,NA
"490","article_1_1_4_1_2.RDa",1,-1.73205080756888
"491","article_1_1_4_1_2.RDa",2,-1.73205080756888
"492","article_1_1_4_2_0.RDa",NA,NA
"493","article_1_1_4_2_1.RDa",NA,NA
"494","article_1_1_4_2_2.RDa",NA,NA
"495","article_1_2_0_0_0.RDa",1,-8.37719607488576
"496","article_1_2_0_0_0.RDa",2,-8.42952666230189
"497","article_1_2_0_0_1.RDa",1,-8.37719607488576
"498","article_1_2_0_0_1.RDa",2,-8.42952666230189
"499","article_1_2_0_0_2.RDa",1,-8.37719607488576
"500","article_1_2_0_0_2.RDa",2,-8.42952666230189
"501","article_1_2_0_1_0.RDa",1,-8.37719607488576
"502","article_1_2_0_1_0.RDa",2,-8.42952666230189
"503","article_1_2_0_1_1.RDa",1,-8.37719607488576
"504","article_1_2_0_1_1.RDa",2,-8.42952666230189
