"","filenames","species_tree","gamma_stat"
"1","article_0_0_0_0_0.RDa",NA,NA
"2","article_0_0_0_0_1.RDa",NA,NA
"3","article_0_0_0_0_2.RDa",1,0.156716284909481
"4","article_0_0_0_0_2.RDa",2,0.156716284909481
"5","article_0_0_0_1_0.RDa",NA,NA
"6","article_0_0_0_1_1.RDa",NA,NA
"7","article_0_0_0_1_2.RDa",NA,NA
"8","article_0_0_0_2_0.RDa",NA,NA
"9","article_0_0_0_2_1.RDa",NA,NA
"10","article_0_0_0_2_2.RDa",NA,NA
"11","article_0_0_1_0_0.RDa",NA,NA
"12","article_0_0_1_0_1.RDa",NA,NA
"13","article_0_0_1_0_2.RDa",NA,NA
"14","article_0_0_1_1_0.RDa",NA,NA
"15","article_0_0_1_1_1.RDa",NA,NA
"16","article_0_0_1_1_2.RDa",NA,NA
"17","article_0_0_1_2_0.RDa",NA,NA
"18","article_0_0_1_2_1.RDa",NA,NA
"19","article_0_0_1_2_2.RDa",NA,NA
"20","article_0_0_2_0_0.RDa",NA,NA
"21","article_0_0_2_0_1.RDa",NA,NA
"22","article_0_0_2_0_2.RDa",NA,NA
"23","article_0_0_2_1_0.RDa",NA,NA
"24","article_0_0_2_1_1.RDa",NA,NA
"25","article_0_0_2_1_2.RDa",NA,NA
"26","article_0_0_2_2_0.RDa",NA,NA
"27","article_0_0_2_2_1.RDa",NA,NA
"28","article_0_0_2_2_2.RDa",1,-1.73205080756888
"29","article_0_0_2_2_2.RDa",2,-1.73205080756888
"30","article_0_0_3_0_0.RDa",NA,NA
"31","article_0_0_3_0_1.RDa",NA,NA
"32","article_0_0_3_0_2.RDa",1,-1.73205080756888
"33","article_0_0_3_0_2.RDa",2,-1.73205080756888
"34","article_0_0_3_1_0.RDa",NA,NA
"35","article_0_0_3_1_1.RDa",NA,NA
"36","article_0_0_3_1_2.RDa",NA,NA
"37","article_0_0_3_2_0.RDa",1,-1.73205080756888
"38","article_0_0_3_2_0.RDa",2,-1.73205080756888
"39","article_0_0_3_2_1.RDa",NA,NA
"40","article_0_0_3_2_2.RDa",NA,NA
"41","article_0_0_4_0_0.RDa",NA,NA
"42","article_0_0_4_0_1.RDa",NA,NA
"43","article_0_0_4_0_2.RDa",NA,NA
"44","article_0_0_4_1_0.RDa",NA,NA
"45","article_0_0_4_1_1.RDa",NA,NA
"46","article_0_0_4_1_2.RDa",NA,NA
"47","article_0_0_4_2_0.RDa",NA,NA
"48","article_0_0_4_2_1.RDa",NA,NA
"49","article_0_0_4_2_2.RDa",NA,NA
"50","article_0_1_0_0_0.RDa",1,0.501090486102042
"51","article_0_1_0_0_0.RDa",2,0.342806758205792
"52","article_0_1_0_0_1.RDa",1,0.501090486102042
"53","article_0_1_0_0_1.RDa",2,0.342806758205792
"54","article_0_1_0_0_2.RDa",1,0.501090486102042
"55","article_0_1_0_0_2.RDa",2,0.342806758205792
"56","article_0_1_0_1_0.RDa",1,0.501090486102042
"57","article_0_1_0_1_0.RDa",2,0.342806758205792
"58","article_0_1_0_1_1.RDa",NA,NA
"59","article_0_1_0_1_2.RDa",1,0.501090486102042
"60","article_0_1_0_1_2.RDa",2,0.342806758205792
"61","article_0_1_0_2_0.RDa",1,0.501090486102042
"62","article_0_1_0_2_0.RDa",2,0.342806758205792
"63","article_0_1_0_2_1.RDa",NA,NA
"64","article_0_1_0_2_2.RDa",1,0.501090486102042
"65","article_0_1_0_2_2.RDa",2,0.342806758205792
"66","article_0_1_1_0_0.RDa",NA,NA
"67","article_0_1_1_0_1.RDa",NA,NA
"68","article_0_1_1_0_2.RDa",1,-2.40589207407565
"69","article_0_1_1_0_2.RDa",2,-2.40589207407565
"70","article_0_1_1_1_0.RDa",NA,NA
"71","article_0_1_1_1_1.RDa",1,-2.40589207407565
"72","article_0_1_1_1_1.RDa",2,-2.40589207407565
"73","article_0_1_1_1_2.RDa",NA,NA
"74","article_0_1_1_2_0.RDa",1,-2.40589207407565
