"","filenames","species_tree","t","nltt"
"1","article_0_0_0_0_0.RDa",NA,NA,NA
"2","article_0_0_0_0_1.RDa",NA,NA,NA
"3","article_0_0_0_0_2.RDa",1,0,0.5
"4","article_0_0_0_0_2.RDa",1,0.1,0.5
"5","article_0_0_0_0_2.RDa",1,0.2,0.5
"6","article_0_0_0_0_2.RDa",1,0.3,0.5
"7","article_0_0_0_0_2.RDa",1,0.4,0.5
"8","article_0_0_0_0_2.RDa",1,0.5,0.5
"9","article_0_0_0_0_2.RDa",1,0.6,0.666666666666667
"10","article_0_0_0_0_2.RDa",1,0.7,0.666666666666667
"11","article_0_0_0_0_2.RDa",1,0.8,0.666666666666667
"12","article_0_0_0_0_2.RDa",1,0.9,0.833333333333333
"13","article_0_0_0_0_2.RDa",1,1,1
"14","article_0_0_0_0_2.RDa",2,0,0.5
"15","article_0_0_0_0_2.RDa",2,0.1,0.5
"16","article_0_0_0_0_2.RDa",2,0.2,0.5
"17","article_0_0_0_0_2.RDa",2,0.3,0.5
"18","article_0_0_0_0_2.RDa",2,0.4,0.5
"19","article_0_0_0_0_2.RDa",2,0.5,0.5
"20","article_0_0_0_0_2.RDa",2,0.6,0.666666666666667
"21","article_0_0_0_0_2.RDa",2,0.7,0.666666666666667
"22","article_0_0_0_0_2.RDa",2,0.8,0.666666666666667
"23","article_0_0_0_0_2.RDa",2,0.9,0.833333333333333
"24","article_0_0_0_0_2.RDa",2,1,1
"25","article_0_0_0_1_0.RDa",NA,NA,NA
"26","article_0_0_0_1_1.RDa",NA,NA,NA
"27","article_0_0_0_1_2.RDa",NA,NA,NA
"28","article_0_0_0_2_0.RDa",NA,NA,NA
"29","article_0_0_0_2_1.RDa",NA,NA,NA
"30","article_0_0_0_2_2.RDa",NA,NA,NA
"31","article_0_0_1_0_0.RDa",NA,NA,NA
"32","article_0_0_1_0_1.RDa",NA,NA,NA
"33","article_0_0_1_0_2.RDa",NA,NA,NA
"34","article_0_0_1_1_0.RDa",NA,NA,NA
"35","article_0_0_1_1_1.RDa",NA,NA,NA
"36","article_0_0_1_1_2.RDa",NA,NA,NA
"37","article_0_0_1_2_0.RDa",NA,NA,NA
"38","article_0_0_1_2_1.RDa",NA,NA,NA
"39","article_0_0_1_2_2.RDa",NA,NA,NA
"40","article_0_0_2_0_0.RDa",NA,NA,NA
"41","article_0_0_2_0_1.RDa",NA,NA,NA
"42","article_0_0_2_0_2.RDa",NA,NA,NA
"43","article_0_0_2_1_0.RDa",NA,NA,NA
"44","article_0_0_2_1_1.RDa",NA,NA,NA
"45","article_0_0_2_1_2.RDa",NA,NA,NA
"46","article_0_0_2_2_0.RDa",NA,NA,NA
"47","article_0_0_2_2_1.RDa",NA,NA,NA
"48","article_0_0_2_2_2.RDa",1,0,1
"49","article_0_0_2_2_2.RDa",1,0.1,1
"50","article_0_0_2_2_2.RDa",1,0.2,1
"51","article_0_0_2_2_2.RDa",1,0.3,1
"52","article_0_0_2_2_2.RDa",1,0.4,1
"53","article_0_0_2_2_2.RDa",1,0.5,1
"54","article_0_0_2_2_2.RDa",1,0.6,1
