"","filenames","species_tree","t","nltt"
"55","article_0_0_2_2_2.RDa",1,0.7,1
"56","article_0_0_2_2_2.RDa",1,0.8,1
"57","article_0_0_2_2_2.RDa",1,0.9,1
"58","article_0_0_2_2_2.RDa",1,1,1
"59","article_0_0_2_2_2.RDa",2,0,1
"60","article_0_0_2_2_2.RDa",2,0.1,1
"61","article_0_0_2_2_2.RDa",2,0.2,1
"62","article_0_0_2_2_2.RDa",2,0.3,1
"63","article_0_0_2_2_2.RDa",2,0.4,1
"64","article_0_0_2_2_2.RDa",2,0.5,1
"65","article_0_0_2_2_2.RDa",2,0.6,1
"66","article_0_0_2_2_2.RDa",2,0.7,1
"67","article_0_0_2_2_2.RDa",2,0.8,1
"68","article_0_0_2_2_2.RDa",2,0.9,1
"69","article_0_0_2_2_2.RDa",2,1,1
"70","article_0_0_3_0_0.RDa",NA,NA,NA
"71","article_0_0_3_0_1.RDa",NA,NA,NA
"72","article_0_0_3_0_2.RDa",1,0,1
"73","article_0_0_3_0_2.RDa",1,0.1,1
"74","article_0_0_3_0_2.RDa",1,0.2,1
"75","article_0_0_3_0_2.RDa",1,0.3,1
"76","article_0_0_3_0_2.RDa",1,0.4,1
"77","article_0_0_3_0_2.RDa",1,0.5,1
"78","article_0_0_3_0_2.RDa",1,0.6,1
"79","article_0_0_3_0_2.RDa",1,0.7,1
"80","article_0_0_3_0_2.RDa",1,0.8,1
"81","article_0_0_3_0_2.RDa",1,0.9,1
"82","article_0_0_3_0_2.RDa",1,1,1
"83","article_0_0_3_0_2.RDa",2,0,1
"84","article_0_0_3_0_2.RDa",2,0.1,1
"85","article_0_0_3_0_2.RDa",2,0.2,1
"86","article_0_0_3_0_2.RDa",2,0.3,1
"87","article_0_0_3_0_2.RDa",2,0.4,1
"88","article_0_0_3_0_2.RDa",2,0.5,1
"89","article_0_0_3_0_2.RDa",2,0.6,1
"90","article_0_0_3_0_2.RDa",2,0.7,1
"91","article_0_0_3_0_2.RDa",2,0.8,1
"92","article_0_0_3_0_2.RDa",2,0.9,1
"93","article_0_0_3_0_2.RDa",2,1,1
"94","article_0_0_3_1_0.RDa",NA,NA,NA
"95","article_0_0_3_1_1.RDa",NA,NA,NA
"96","article_0_0_3_1_2.RDa",NA,NA,NA
"97","article_0_0_3_2_0.RDa",1,0,1
"98","article_0_0_3_2_0.RDa",1,0.1,1
"99","article_0_0_3_2_0.RDa",1,0.2,1
"100","article_0_0_3_2_0.RDa",1,0.3,1
"101","article_0_0_3_2_0.RDa",1,0.4,1
"102","article_0_0_3_2_0.RDa",1,0.5,1
"103","article_0_0_3_2_0.RDa",1,0.6,1
"104","article_0_0_3_2_0.RDa",1,0.7,1
"105","article_0_0_3_2_0.RDa",1,0.8,1
"106","article_0_0_3_2_0.RDa",1,0.9,1
"107","article_0_0_3_2_0.RDa",1,1,1
"108","article_0_0_3_2_0.RDa",2,0,1
"109","article_0_0_3_2_0.RDa",2,0.1,1
"110","article_0_0_3_2_0.RDa",2,0.2,1
"111","article_0_0_3_2_0.RDa",2,0.3,1
"112","article_0_0_3_2_0.RDa",2,0.4,1
"113","article_0_0_3_2_0.RDa",2,0.5,1
"114","article_0_0_3_2_0.RDa",2,0.6,1
"115","article_0_0_3_2_0.RDa",2,0.7,1
"116","article_0_0_3_2_0.RDa",2,0.8,1
"117","article_0_0_3_2_0.RDa",2,0.9,1
"118","article_0_0_3_2_0.RDa",2,1,1
"119","article_0_0_3_2_1.RDa",NA,NA,NA
"120","article_0_0_3_2_2.RDa",NA,NA,NA
"121","article_0_0_4_0_0.RDa",NA,NA,NA
"122","article_0_0_4_0_1.RDa",NA,NA,NA
"123","article_0_0_4_0_2.RDa",NA,NA,NA
"124","article_0_0_4_1_0.RDa",NA,NA,NA
"125","article_0_0_4_1_1.RDa",NA,NA,NA
"126","article_0_0_4_1_2.RDa",NA,NA,NA
"127","article_0_0_4_2_0.RDa",NA,NA,NA
"128","article_0_0_4_2_1.RDa",NA,NA,NA
"129","article_0_0_4_2_2.RDa",NA,NA,NA
"130","article_0_1_0_0_0.RDa",1,0,0.6
"131","article_0_1_0_0_0.RDa",1,0.1,0.6
"132","article_0_1_0_0_0.RDa",1,0.2,0.6
"133","article_0_1_0_0_0.RDa",1,0.3,0.6
"134","article_0_1_0_0_0.RDa",1,0.4,0.6
"135","article_0_1_0_0_0.RDa",1,0.5,0.6
"136","article_0_1_0_0_0.RDa",1,0.6,0.6
"137","article_0_1_0_0_0.RDa",1,0.7,0.6
"138","article_0_1_0_0_0.RDa",1,0.8,0.6
"139","article_0_1_0_0_0.RDa",1,0.9,0.8
"140","article_0_1_0_0_0.RDa",1,1,1
"141","article_0_1_0_0_0.RDa",2,0,0.6
"142","article_0_1_0_0_0.RDa",2,0.1,0.6
"143","article_0_1_0_0_0.RDa",2,0.2,0.6
"144","article_0_1_0_0_0.RDa",2,0.3,0.6
"145","article_0_1_0_0_0.RDa",2,0.4,0.6
"146","article_0_1_0_0_0.RDa",2,0.5,0.6
"147","article_0_1_0_0_0.RDa",2,0.6,0.6
"148","article_0_1_0_0_0.RDa",2,0.7,0.6
"149","article_0_1_0_0_0.RDa",2,0.8,0.6
"150","article_0_1_0_0_0.RDa",2,0.9,0.8
"151","article_0_1_0_0_0.RDa",2,1,1
"152","article_0_1_0_0_1.RDa",1,0,0.6
"153","article_0_1_0_0_1.RDa",1,0.1,0.6
"154","article_0_1_0_0_1.RDa",1,0.2,0.6
"155","article_0_1_0_0_1.RDa",1,0.3,0.6
"156","article_0_1_0_0_1.RDa",1,0.4,0.6
"157","article_0_1_0_0_1.RDa",1,0.5,0.6
"158","article_0_1_0_0_1.RDa",1,0.6,0.6
"159","article_0_1_0_0_1.RDa",1,0.7,0.6
"160","article_0_1_0_0_1.RDa",1,0.8,0.6
"161","article_0_1_0_0_1.RDa",1,0.9,0.8
"162","article_0_1_0_0_1.RDa",1,1,1
"163","article_0_1_0_0_1.RDa",2,0,0.6
"164","article_0_1_0_0_1.RDa",2,0.1,0.6
"165","article_0_1_0_0_1.RDa",2,0.2,0.6
"166","article_0_1_0_0_1.RDa",2,0.3,0.6
"167","article_0_1_0_0_1.RDa",2,0.4,0.6
"168","article_0_1_0_0_1.RDa",2,0.5,0.6
"169","article_0_1_0_0_1.RDa",2,0.6,0.6
"170","article_0_1_0_0_1.RDa",2,0.7,0.6
"171","article_0_1_0_0_1.RDa",2,0.8,0.6
"172","article_0_1_0_0_1.RDa",2,0.9,0.8
"173","article_0_1_0_0_1.RDa",2,1,1
"174","article_0_1_0_0_2.RDa",1,0,0.6
"175","article_0_1_0_0_2.RDa",1,0.1,0.6
"176","article_0_1_0_0_2.RDa",1,0.2,0.6
"177","article_0_1_0_0_2.RDa",1,0.3,0.6
"178","article_0_1_0_0_2.RDa",1,0.4,0.6
"179","article_0_1_0_0_2.RDa",1,0.5,0.6
"180","article_0_1_0_0_2.RDa",1,0.6,0.6
"181","article_0_1_0_0_2.RDa",1,0.7,0.6
"182","article_0_1_0_0_2.RDa",1,0.8,0.6
"183","article_0_1_0_0_2.RDa",1,0.9,0.8
"184","article_0_1_0_0_2.RDa",1,1,1
"185","article_0_1_0_0_2.RDa",2,0,0.6
"186","article_0_1_0_0_2.RDa",2,0.1,0.6
"187","article_0_1_0_0_2.RDa",2,0.2,0.6
"188","article_0_1_0_0_2.RDa",2,0.3,0.6
"189","article_0_1_0_0_2.RDa",2,0.4,0.6
"190","article_0_1_0_0_2.RDa",2,0.5,0.6
"191","article_0_1_0_0_2.RDa",2,0.6,0.6
"192","article_0_1_0_0_2.RDa",2,0.7,0.6
"193","article_0_1_0_0_2.RDa",2,0.8,0.6
"194","article_0_1_0_0_2.RDa",2,0.9,0.8
"195","article_0_1_0_0_2.RDa",2,1,1
"196","article_0_1_0_1_0.RDa",1,0,0.6
"197","article_0_1_0_1_0.RDa",1,0.1,0.6
"198","article_0_1_0_1_0.RDa",1,0.2,0.6
"199","article_0_1_0_1_0.RDa",1,0.3,0.6
"200","article_0_1_0_1_0.RDa",1,0.4,0.6
"201","article_0_1_0_1_0.RDa",1,0.5,0.6
"202","article_0_1_0_1_0.RDa",1,0.6,0.6
"203","article_0_1_0_1_0.RDa",1,0.7,0.6
"204","article_0_1_0_1_0.RDa",1,0.8,0.6
"205","article_0_1_0_1_0.RDa",1,0.9,0.8
"206","article_0_1_0_1_0.RDa",1,1,1
"207","article_0_1_0_1_0.RDa",2,0,0.6
"208","article_0_1_0_1_0.RDa",2,0.1,0.6
"209","article_0_1_0_1_0.RDa",2,0.2,0.6
"210","article_0_1_0_1_0.RDa",2,0.3,0.6
"211","article_0_1_0_1_0.RDa",2,0.4,0.6
"212","article_0_1_0_1_0.RDa",2,0.5,0.6
"213","article_0_1_0_1_0.RDa",2,0.6,0.6
"214","article_0_1_0_1_0.RDa",2,0.7,0.6
"215","article_0_1_0_1_0.RDa",2,0.8,0.6
"216","article_0_1_0_1_0.RDa",2,0.9,0.8
"217","article_0_1_0_1_0.RDa",2,1,1
"218","article_0_1_0_1_1.RDa",NA,NA,NA
"219","article_0_1_0_1_2.RDa",1,0,0.6
"220","article_0_1_0_1_2.RDa",1,0.1,0.6
"221","article_0_1_0_1_2.RDa",1,0.2,0.6
"222","article_0_1_0_1_2.RDa",1,0.3,0.6
"223","article_0_1_0_1_2.RDa",1,0.4,0.6
"224","article_0_1_0_1_2.RDa",1,0.5,0.6
"225","article_0_1_0_1_2.RDa",1,0.6,0.6
"226","article_0_1_0_1_2.RDa",1,0.7,0.6
"227","article_0_1_0_1_2.RDa",1,0.8,0.6
"228","article_0_1_0_1_2.RDa",1,0.9,0.8
"229","article_0_1_0_1_2.RDa",1,1,1
"230","article_0_1_0_1_2.RDa",2,0,0.6
"231","article_0_1_0_1_2.RDa",2,0.1,0.6
"232","article_0_1_0_1_2.RDa",2,0.2,0.6
"233","article_0_1_0_1_2.RDa",2,0.3,0.6
"234","article_0_1_0_1_2.RDa",2,0.4,0.6
"235","article_0_1_0_1_2.RDa",2,0.5,0.6
"236","article_0_1_0_1_2.RDa",2,0.6,0.6
"237","article_0_1_0_1_2.RDa",2,0.7,0.6
"238","article_0_1_0_1_2.RDa",2,0.8,0.6
"239","article_0_1_0_1_2.RDa",2,0.9,0.8
"240","article_0_1_0_1_2.RDa",2,1,1
"241","article_0_1_0_2_0.RDa",1,0,0.6
"242","article_0_1_0_2_0.RDa",1,0.1,0.6
"243","article_0_1_0_2_0.RDa",1,0.2,0.6
"244","article_0_1_0_2_0.RDa",1,0.3,0.6
"245","article_0_1_0_2_0.RDa",1,0.4,0.6
"246","article_0_1_0_2_0.RDa",1,0.5,0.6
"247","article_0_1_0_2_0.RDa",1,0.6,0.6
"248","article_0_1_0_2_0.RDa",1,0.7,0.6
"249","article_0_1_0_2_0.RDa",1,0.8,0.6
"250","article_0_1_0_2_0.RDa",1,0.9,0.8
"251","article_0_1_0_2_0.RDa",1,1,1
"252","article_0_1_0_2_0.RDa",2,0,0.6
"253","article_0_1_0_2_0.RDa",2,0.1,0.6
"254","article_0_1_0_2_0.RDa",2,0.2,0.6
"255","article_0_1_0_2_0.RDa",2,0.3,0.6
"256","article_0_1_0_2_0.RDa",2,0.4,0.6
"257","article_0_1_0_2_0.RDa",2,0.5,0.6
"258","article_0_1_0_2_0.RDa",2,0.6,0.6
"259","article_0_1_0_2_0.RDa",2,0.7,0.6
"260","article_0_1_0_2_0.RDa",2,0.8,0.6
"261","article_0_1_0_2_0.RDa",2,0.9,0.8
"262","article_0_1_0_2_0.RDa",2,1,1
"263","article_0_1_0_2_1.RDa",NA,NA,NA
"264","article_0_1_0_2_2.RDa",1,0,0.6
"265","article_0_1_0_2_2.RDa",1,0.1,0.6
"266","article_0_1_0_2_2.RDa",1,0.2,0.6
"267","article_0_1_0_2_2.RDa",1,0.3,0.6
"268","article_0_1_0_2_2.RDa",1,0.4,0.6
"269","article_0_1_0_2_2.RDa",1,0.5,0.6
"270","article_0_1_0_2_2.RDa",1,0.6,0.6
"271","article_0_1_0_2_2.RDa",1,0.7,0.6
"272","article_0_1_0_2_2.RDa",1,0.8,0.6
"273","article_0_1_0_2_2.RDa",1,0.9,0.8
"274","article_0_1_0_2_2.RDa",1,1,1
"275","article_0_1_0_2_2.RDa",2,0,0.6
"276","article_0_1_0_2_2.RDa",2,0.1,0.6
"277","article_0_1_0_2_2.RDa",2,0.2,0.6
"278","article_0_1_0_2_2.RDa",2,0.3,0.6
"279","article_0_1_0_2_2.RDa",2,0.4,0.6
"280","article_0_1_0_2_2.RDa",2,0.5,0.6
"281","article_0_1_0_2_2.RDa",2,0.6,0.6
"282","article_0_1_0_2_2.RDa",2,0.7,0.6
"283","article_0_1_0_2_2.RDa",2,0.8,0.6
"284","article_0_1_0_2_2.RDa",2,0.9,0.8
"285","article_0_1_0_2_2.RDa",2,1,1
"286","article_0_1_1_0_0.RDa",NA,NA,NA
"287","article_0_1_1_0_1.RDa",NA,NA,NA
"288","article_0_1_1_0_2.RDa",1,0,0.75
"289","article_0_1_1_0_2.RDa",1,0.1,1
"290","article_0_1_1_0_2.RDa",1,0.2,1
"291","article_0_1_1_0_2.RDa",1,0.3,1
"292","article_0_1_1_0_2.RDa",1,0.4,1
"293","article_0_1_1_0_2.RDa",1,0.5,1
"294","article_0_1_1_0_2.RDa",1,0.6,1
"295","article_0_1_1_0_2.RDa",1,0.7,1
"296","article_0_1_1_0_2.RDa",1,0.8,1
"297","article_0_1_1_0_2.RDa",1,0.9,1
"298","article_0_1_1_0_2.RDa",1,1,1
"299","article_0_1_1_0_2.RDa",2,0,0.75
"300","article_0_1_1_0_2.RDa",2,0.1,1
"301","article_0_1_1_0_2.RDa",2,0.2,1
"302","article_0_1_1_0_2.RDa",2,0.3,1
"303","article_0_1_1_0_2.RDa",2,0.4,1
"304","article_0_1_1_0_2.RDa",2,0.5,1
"305","article_0_1_1_0_2.RDa",2,0.6,1
"306","article_0_1_1_0_2.RDa",2,0.7,1
"307","article_0_1_1_0_2.RDa",2,0.8,1
"308","article_0_1_1_0_2.RDa",2,0.9,1
"309","article_0_1_1_0_2.RDa",2,1,1
"310","article_0_1_1_1_0.RDa",NA,NA,NA
"311","article_0_1_1_1_1.RDa",1,0,0.75
"312","article_0_1_1_1_1.RDa",1,0.1,1
"313","article_0_1_1_1_1.RDa",1,0.2,1
"314","article_0_1_1_1_1.RDa",1,0.3,1
"315","article_0_1_1_1_1.RDa",1,0.4,1
"316","article_0_1_1_1_1.RDa",1,0.5,1
"317","article_0_1_1_1_1.RDa",1,0.6,1
"318","article_0_1_1_1_1.RDa",1,0.7,1
"319","article_0_1_1_1_1.RDa",1,0.8,1
"320","article_0_1_1_1_1.RDa",1,0.9,1
"321","article_0_1_1_1_1.RDa",1,1,1
"322","article_0_1_1_1_1.RDa",2,0,0.75
"323","article_0_1_1_1_1.RDa",2,0.1,1
"324","article_0_1_1_1_1.RDa",2,0.2,1
"325","article_0_1_1_1_1.RDa",2,0.3,1
"326","article_0_1_1_1_1.RDa",2,0.4,1
"327","article_0_1_1_1_1.RDa",2,0.5,1
"328","article_0_1_1_1_1.RDa",2,0.6,1
"329","article_0_1_1_1_1.RDa",2,0.7,1
"330","article_0_1_1_1_1.RDa",2,0.8,1
"331","article_0_1_1_1_1.RDa",2,0.9,1
"332","article_0_1_1_1_1.RDa",2,1,1
"333","article_0_1_1_1_2.RDa",NA,NA,NA
"334","article_0_1_1_2_0.RDa",1,0,0.75
"335","article_0_1_1_2_0.RDa",1,0.1,1
"336","article_0_1_1_2_0.RDa",1,0.2,1
"337","article_0_1_1_2_0.RDa",1,0.3,1
"338","article_0_1_1_2_0.RDa",1,0.4,1
"339","article_0_1_1_2_0.RDa",1,0.5,1
"340","article_0_1_1_2_0.RDa",1,0.6,1
"341","article_0_1_1_2_0.RDa",1,0.7,1
"342","article_0_1_1_2_0.RDa",1,0.8,1
"343","article_0_1_1_2_0.RDa",1,0.9,1
"344","article_0_1_1_2_0.RDa",1,1,1
"345","article_0_1_1_2_0.RDa",2,0,0.75
"346","article_0_1_1_2_0.RDa",2,0.1,1
"347","article_0_1_1_2_0.RDa",2,0.2,1
"348","article_0_1_1_2_0.RDa",2,0.3,1
"349","article_0_1_1_2_0.RDa",2,0.4,1
"350","article_0_1_1_2_0.RDa",2,0.5,1
"351","article_0_1_1_2_0.RDa",2,0.6,1
"352","article_0_1_1_2_0.RDa",2,0.7,1
"353","article_0_1_1_2_0.RDa",2,0.8,1
"354","article_0_1_1_2_0.RDa",2,0.9,1
"355","article_0_1_1_2_0.RDa",2,1,1
"356","article_0_1_1_2_1.RDa",1,0,0.75
"357","article_0_1_1_2_1.RDa",1,0.1,1
"358","article_0_1_1_2_1.RDa",1,0.2,1
"359","article_0_1_1_2_1.RDa",1,0.3,1
"360","article_0_1_1_2_1.RDa",1,0.4,1
"361","article_0_1_1_2_1.RDa",1,0.5,1
"362","article_0_1_1_2_1.RDa",1,0.6,1
"363","article_0_1_1_2_1.RDa",1,0.7,1
"364","article_0_1_1_2_1.RDa",1,0.8,1
"365","article_0_1_1_2_1.RDa",1,0.9,1
"366","article_0_1_1_2_1.RDa",1,1,1
"367","article_0_1_1_2_1.RDa",2,0,0.75
"368","article_0_1_1_2_1.RDa",2,0.1,1
"369","article_0_1_1_2_1.RDa",2,0.2,1
"370","article_0_1_1_2_1.RDa",2,0.3,1
"371","article_0_1_1_2_1.RDa",2,0.4,1
"372","article_0_1_1_2_1.RDa",2,0.5,1
"373","article_0_1_1_2_1.RDa",2,0.6,1
"374","article_0_1_1_2_1.RDa",2,0.7,1
"375","article_0_1_1_2_1.RDa",2,0.8,1
"376","article_0_1_1_2_1.RDa",2,0.9,1
"377","article_0_1_1_2_1.RDa",2,1,1
"378","article_0_1_1_2_2.RDa",1,0,0.75
"379","article_0_1_1_2_2.RDa",1,0.1,1
"380","article_0_1_1_2_2.RDa",1,0.2,1
"381","article_0_1_1_2_2.RDa",1,0.3,1
"382","article_0_1_1_2_2.RDa",1,0.4,1
"383","article_0_1_1_2_2.RDa",1,0.5,1
"384","article_0_1_1_2_2.RDa",1,0.6,1
"385","article_0_1_1_2_2.RDa",1,0.7,1
"386","article_0_1_1_2_2.RDa",1,0.8,1
"387","article_0_1_1_2_2.RDa",1,0.9,1
"388","article_0_1_1_2_2.RDa",1,1,1
"389","article_0_1_1_2_2.RDa",2,0,0.75
"390","article_0_1_1_2_2.RDa",2,0.1,1
"391","article_0_1_1_2_2.RDa",2,0.2,1
"392","article_0_1_1_2_2.RDa",2,0.3,1
"393","article_0_1_1_2_2.RDa",2,0.4,1
"394","article_0_1_1_2_2.RDa",2,0.5,1
"395","article_0_1_1_2_2.RDa",2,0.6,1
"396","article_0_1_1_2_2.RDa",2,0.7,1
"397","article_0_1_1_2_2.RDa",2,0.8,1
"398","article_0_1_1_2_2.RDa",2,0.9,1
"399","article_0_1_1_2_2.RDa",2,1,1
"400","article_0_1_2_0_0.RDa",NA,NA,NA
"401","article_0_1_2_0_1.RDa",1,0,0.428571428571429
"402","article_0_1_2_0_1.RDa",1,0.1,0.428571428571429
"403","article_0_1_2_0_1.RDa",1,0.2,0.571428571428571
"404","article_0_1_2_0_1.RDa",1,0.3,0.571428571428571
"405","article_0_1_2_0_1.RDa",1,0.4,0.571428571428571
"406","article_0_1_2_0_1.RDa",1,0.5,0.571428571428571
"407","article_0_1_2_0_1.RDa",1,0.6,0.571428571428571
"408","article_0_1_2_0_1.RDa",1,0.7,0.571428571428571
"409","article_0_1_2_0_1.RDa",1,0.8,0.714285714285714
"410","article_0_1_2_0_1.RDa",1,0.9,0.857142857142857
"411","article_0_1_2_0_1.RDa",1,1,1
"412","article_0_1_2_0_1.RDa",2,0,0.428571428571429
"413","article_0_1_2_0_1.RDa",2,0.1,0.428571428571429
"414","article_0_1_2_0_1.RDa",2,0.2,0.571428571428571
"415","article_0_1_2_0_1.RDa",2,0.3,0.571428571428571
"416","article_0_1_2_0_1.RDa",2,0.4,0.571428571428571
"417","article_0_1_2_0_1.RDa",2,0.5,0.571428571428571
"418","article_0_1_2_0_1.RDa",2,0.6,0.571428571428571
"419","article_0_1_2_0_1.RDa",2,0.7,0.571428571428571
"420","article_0_1_2_0_1.RDa",2,0.8,0.714285714285714
"421","article_0_1_2_0_1.RDa",2,0.9,0.857142857142857
"422","article_0_1_2_0_1.RDa",2,1,1
"423","article_0_1_2_0_2.RDa",1,0,0.428571428571429
"424","article_0_1_2_0_2.RDa",1,0.1,0.428571428571429
"425","article_0_1_2_0_2.RDa",1,0.2,0.571428571428571
"426","article_0_1_2_0_2.RDa",1,0.3,0.571428571428571
"427","article_0_1_2_0_2.RDa",1,0.4,0.571428571428571
"428","article_0_1_2_0_2.RDa",1,0.5,0.571428571428571
"429","article_0_1_2_0_2.RDa",1,0.6,0.571428571428571
"430","article_0_1_2_0_2.RDa",1,0.7,0.571428571428571
"431","article_0_1_2_0_2.RDa",1,0.8,0.714285714285714
"432","article_0_1_2_0_2.RDa",1,0.9,0.857142857142857
"433","article_0_1_2_0_2.RDa",1,1,1
"434","article_0_1_2_0_2.RDa",2,0,0.428571428571429
"435","article_0_1_2_0_2.RDa",2,0.1,0.428571428571429
"436","article_0_1_2_0_2.RDa",2,0.2,0.571428571428571
"437","article_0_1_2_0_2.RDa",2,0.3,0.571428571428571
"438","article_0_1_2_0_2.RDa",2,0.4,0.571428571428571
"439","article_0_1_2_0_2.RDa",2,0.5,0.571428571428571
"440","article_0_1_2_0_2.RDa",2,0.6,0.571428571428571
"441","article_0_1_2_0_2.RDa",2,0.7,0.571428571428571
"442","article_0_1_2_0_2.RDa",2,0.8,0.714285714285714
"443","article_0_1_2_0_2.RDa",2,0.9,0.857142857142857
"444","article_0_1_2_0_2.RDa",2,1,1
"445","article_0_1_2_1_0.RDa",NA,NA,NA
"446","article_0_1_2_1_1.RDa",1,0,0.428571428571429
"447","article_0_1_2_1_1.RDa",1,0.1,0.428571428571429
"448","article_0_1_2_1_1.RDa",1,0.2,0.571428571428571
"449","article_0_1_2_1_1.RDa",1,0.3,0.571428571428571
"450","article_0_1_2_1_1.RDa",1,0.4,0.571428571428571
"451","article_0_1_2_1_1.RDa",1,0.5,0.571428571428571
"452","article_0_1_2_1_1.RDa",1,0.6,0.571428571428571
"453","article_0_1_2_1_1.RDa",1,0.7,0.571428571428571
"454","article_0_1_2_1_1.RDa",1,0.8,0.714285714285714
"455","article_0_1_2_1_1.RDa",1,0.9,0.857142857142857
"456","article_0_1_2_1_1.RDa",1,1,1
"457","article_0_1_2_1_1.RDa",2,0,0.428571428571429
"458","article_0_1_2_1_1.RDa",2,0.1,0.428571428571429
"459","article_0_1_2_1_1.RDa",2,0.2,0.571428571428571
"460","article_0_1_2_1_1.RDa",2,0.3,0.571428571428571
"461","article_0_1_2_1_1.RDa",2,0.4,0.571428571428571
"462","article_0_1_2_1_1.RDa",2,0.5,0.571428571428571
"463","article_0_1_2_1_1.RDa",2,0.6,0.571428571428571
"464","article_0_1_2_1_1.RDa",2,0.7,0.571428571428571
"465","article_0_1_2_1_1.RDa",2,0.8,0.714285714285714
"466","article_0_1_2_1_1.RDa",2,0.9,0.857142857142857
"467","article_0_1_2_1_1.RDa",2,1,1
"468","article_0_1_2_1_2.RDa",1,0,0.428571428571429
"469","article_0_1_2_1_2.RDa",1,0.1,0.428571428571429
"470","article_0_1_2_1_2.RDa",1,0.2,0.571428571428571
"471","article_0_1_2_1_2.RDa",1,0.3,0.571428571428571
"472","article_0_1_2_1_2.RDa",1,0.4,0.571428571428571
"473","article_0_1_2_1_2.RDa",1,0.5,0.571428571428571
"474","article_0_1_2_1_2.RDa",1,0.6,0.571428571428571
"475","article_0_1_2_1_2.RDa",1,0.7,0.571428571428571
"476","article_0_1_2_1_2.RDa",1,0.8,0.714285714285714
"477","article_0_1_2_1_2.RDa",1,0.9,0.857142857142857
"478","article_0_1_2_1_2.RDa",1,1,1
"479","article_0_1_2_1_2.RDa",2,0,0.428571428571429
"480","article_0_1_2_1_2.RDa",2,0.1,0.428571428571429
"481","article_0_1_2_1_2.RDa",2,0.2,0.571428571428571
"482","article_0_1_2_1_2.RDa",2,0.3,0.571428571428571
"483","article_0_1_2_1_2.RDa",2,0.4,0.571428571428571
"484","article_0_1_2_1_2.RDa",2,0.5,0.571428571428571
"485","article_0_1_2_1_2.RDa",2,0.6,0.571428571428571
"486","article_0_1_2_1_2.RDa",2,0.7,0.571428571428571
"487","article_0_1_2_1_2.RDa",2,0.8,0.714285714285714
"488","article_0_1_2_1_2.RDa",2,0.9,0.857142857142857
"489","article_0_1_2_1_2.RDa",2,1,1
